Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,User created at,CV Last updated by owner,CV Last updated,Years of education,Years since first work experience,Access roles,Has profile image,Owns a reference project,Read and understood privacy notice,SFIA Level,CPD Level,CPD Band,CPD Label
Joseph Zuniga,int:Joseph Zuniga,int:Senior AWS Engineer,joseph.zuniga@example.com,josephzuniga,ext_72bf73d1,72bf73d1,cv_72bf73d1,446-778-6691,+1-217-378-5289x2268,1980,Cloud Engineering,India,2018-10-02,2025-01-16,2025-01-22,12,21,User,False,True,True,4,3,E,CPD3E
Deborah Lynch,int:Deborah Lynch,int:Senior Full-stack Engineer,deborah.lynch@mail.test,deborahlynch,ext_d94e9d2e,d94e9d2e,cv_d94e9d2e,624.422.5358x41438,+1-749-281-8299x2299,1970,Software Engineering,Spain,2025-07-22,2025-01-03,2024-12-23,20,25,Administrator,False,True,False,4,3,E,CPD3E
George Daniel,int:George Daniel,int:Principal Backend Engineer,george.daniel@example.org,georgedaniel,ext_69a9dc55,69a9dc55,cv_69a9dc55,2109943969,+1-884-947-3647x1027,1983,Software Engineering,Spain,2018-03-12,2025-04-17,2025-03-13,17,3,Country Manager,True,True,False,5,3,L,CPD3L
Frank Gray,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_e3c98e6e,e3c98e6e,cv_e3c98e6e,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,2021-05-27,2025-03-22,2025-09-14,18,18,Administrator,True,False,True,6,4,E,CPD4E
Veronica Bowman,int:Veronica Bowman,int:Senior Solution Architect,veronica.bowman@example.org,veronicabowman,ext_37d15a82,37d15a82,cv_37d15a82,+1-963-625-9532x787,901.968.7339x5004,1992,Architecture,United Kingdom,2018-12-22,2025-03-05,2025-02-25,12,11,Country Manager,False,True,True,4,3,E,CPD3E
Angela Cohen,int:Angela Cohen,int:Principal Python Developer,angela.cohen@example.org,angelacohen,ext_fc1faa17,fc1faa17,cv_fc1faa17,580-716-2456x5060,+1-341-468-7849,2000,Data Engineering,Ireland,2020-09-30,2025-03-07,2025-01-14,19,12,Administrator,True,True,False,5,3,L,CPD3L
Megan Parsons,int:Megan Parsons,int:Associate DevOps Engineer,megan.parsons@mail.test,meganparsons,ext_f3c1b067,f3c1b067,cv_f3c1b067,865-258-5239,4027578729,1974,Cloud Engineering,Spain,2021-01-15,2025-04-24,2025-10-20,15,25,Administrator,False,False,True,2,1,E,CPD1E
Jeremy Johnson,int:Jeremy Johnson,int:Consultant Data Platform Engineer,jeremy.johnson@example.com,jeremyjohnson,ext_1b490dd6,1b490dd6,cv_1b490dd6,+1-652-969-4958x887,9556169409,1992,Data Engineering,United Kingdom,2020-03-21,2025-04-28,2025-05-08,19,22,Country Manager,True,True,True,3,2,L,CPD2L
Leslie Adams,int:Leslie Adams,int:Consultant Backend Engineer,leslie.adams@mail.test,leslieadams,ext_fe33e935,fe33e935,cv_fe33e935,+1-299-330-9728x9623,907.256.2636,1980,Software Engineering,Ireland,2019-02-13,2024-11-15,2025-05-29,18,2,User,True,True,True,3,2,L,CPD2L
Jason Hahn,int:Jason Hahn,int:Principal Full-stack Engineer,jason.hahn@mail.test,jasonhahn,ext_27b3a98f,27b3a98f,cv_27b3a98f,001-728-738-5786x527,+1-749-973-3484x34437,1976,Software Engineering,India,2022-03-13,2024-11-18,2025-01-31,12,13,User,False,False,False,5,3,L,CPD3L
Nancy Edwards,int:Nancy Edwards,int:Consultant Analytics Engineer,nancy.edwards@mail.test,nancyedwards,ext_f5d98ac7,f5d98ac7,cv_f5d98ac7,(284)641-9866x524,001-415-374-7338x484,1994,Data Engineering,United Kingdom,2019-05-01,2025-01-21,2025-03-15,19,16,Country Manager,False,True,True,3,2,L,CPD2L
Diana Foster,int:Diana Foster,int:Consultant Kubernetes Engineer,diana.foster@example.org,dianafoster,ext_43fa1860,43fa1860,cv_43fa1860,+1-993-330-8330x165,+1-520-282-6773x45401,1983,Cloud Engineering,Spain,2025-07-09,2025-08-30,2025-04-18,13,1,User,False,False,False,3,2,L,CPD2L
Robin Ellis,int:Robin Ellis,int:Senior Full-stack Engineer,robin.ellis@example.org,robinellis,ext_58e2ef0c,58e2ef0c,cv_58e2ef0c,(262)606-7240,001-491-954-7887,1971,Software Engineering,USA,2017-12-17,2025-08-19,2025-03-25,18,11,Administrator,False,False,False,4,3,E,CPD3E
Joseph Wright,int:Joseph Wright,int:Head of Quality Engineering,joseph.wright@example.org,josephwright,ext_0bab317c,0bab317c,cv_0bab317c,531-452-7420x549,+1-566-285-1612x275,1980,Head of Quality Engineering,Ireland,2023-02-10,2025-06-06,2025-03-15,13,10,Country Manager,False,True,False,6,4,E,CPD4E
Anna Baker,int:Anna Baker,int:Principal Python Developer,anna.baker@mail.test,annabaker,ext_15830954,15830954,cv_15830954,563-274-5499x045,+1-417-942-6841x45933,1993,Data Engineering,Slovenia,2022-01-02,2024-12-15,2025-07-07,10,10,Administrator,True,False,False,5,3,L,CPD3L
Brenda Hurst,int:Brenda Hurst,int:Senior MLOps Engineer,brenda.hurst@example.com,brendahurst,ext_d2d98742,d2d98742,cv_d2d98742,(579)356-8783,478.751.9108x83982,1985,Data Engineering,United Kingdom,2024-05-02,2025-09-25,2025-04-18,13,2,Administrator,True,True,True,4,3,E,CPD3E
Reginald Robinson,int:Reginald Robinson,int:Associate Data Engineer,reginald.robinson@mail.test,reginaldrobinson,ext_51e97786,51e97786,cv_51e97786,971.239.7187x07286,+1-374-206-4039,1978,Data Engineering,Australia,2021-04-24,2025-06-22,2024-12-20,17,21,User,True,False,False,2,1,E,CPD1E
Whitney Hicks,int:Whitney Hicks,int:Associate .NET Engineer,whitney.hicks@mail.test,whitneyhicks,ext_145f9df4,145f9df4,cv_145f9df4,(851)980-1704x62265,(261)282-5128x6823,1979,Software Engineering,United Kingdom,2021-03-10,2025-11-11,2025-06-16,16,16,Administrator,True,False,True,2,1,E,CPD1E
Christopher Williams,int:Christopher Williams,int:Senior Data Scientist,christopher.williams@mail.test,christopherwilliams,ext_0edfea3b,0edfea3b,cv_0edfea3b,378-268-6337x5243,+1-269-803-3119x07903,1997,AI/ML,United Kingdom,2018-09-07,2025-09-19,2025-05-30,12,17,User,False,False,True,4,3,E,CPD3E
Daniel Burton,int:Daniel Burton,int:Associate .NET Engineer,daniel.burton@example.com,danielburton,ext_b3859c3f,b3859c3f,cv_b3859c3f,738.530.2843x959,928-236-4408x9268,1989,Software Engineering,Australia,2022-07-26,2025-10-02,2025-04-24,12,20,User,False,False,False,2,1,E,CPD1E
Laura Henderson,int:Laura Henderson,int:Director of Design,laura.henderson@example.com,laurahenderson,ext_4e2310f9,4e2310f9,cv_4e2310f9,(568)556-6246x287,527-708-6688x2634,1983,Director of Design,United Kingdom,2025-10-19,2025-01-21,2025-01-26,13,15,Country Manager,False,False,False,6,4,E,CPD4E
Bryan James,int:Bryan James,int:Associate Data Engineer,bryan.james@mail.test,bryanjames,ext_f2274e5f,f2274e5f,cv_f2274e5f,+1-317-551-8304x6990,001-598-837-3540x33173,1975,Data Engineering,Spain,2020-08-27,2025-05-11,2025-01-05,16,22,Country Manager,False,True,False,2,1,E,CPD1E
Wendy Rice,int:Wendy Rice,int:Principal Databricks Engineer,wendy.rice@mail.test,wendyrice,ext_4b009999,4b009999,cv_4b009999,685.746.7854,277.617.5355x60932,1991,Data Engineering,United Kingdom,2021-03-18,2025-02-19,2025-04-01,18,22,User,True,True,True,5,3,L,CPD3L
Tasha Valencia,int:Tasha Valencia,int:Associate Solution Architect,tasha.valencia@example.org,tashavalencia,ext_3dfa7193,3dfa7193,cv_3dfa7193,+1-899-564-2353,485.247.7725x2287,2000,Architecture,Ireland,2023-08-10,2025-01-21,2025-03-10,12,11,User,False,True,True,2,1,E,CPD1E
Alexander Le,int:Alexander Le,int:Principal C# Developer,alexander.le@mail.test,alexanderle,ext_77c085bb,77c085bb,cv_77c085bb,701.200.6231x20387,+1-697-670-0886x008,1976,Software Engineering,India,2020-02-13,2025-04-27,2025-07-08,19,2,Country Manager,False,False,True,5,3,L,CPD3L
Erin Herrera,int:Erin Herrera,int:Associate Python Developer,erin.herrera@mail.test,erinherrera,ext_2f8ffee0,2f8ffee0,cv_2f8ffee0,5866211823,(246)315-6793x341,1995,Data Engineering,Slovenia,2022-01-04,2025-06-22,2025-04-20,18,2,User,True,False,True,2,1,E,CPD1E
Joseph Davidson,int:Joseph Davidson,int:Senior Kubernetes Engineer,joseph.davidson@example.org,josephdavidson,ext_c34cdf0b,c34cdf0b,cv_c34cdf0b,(366)287-0021x7659,239.474.0148,1992,Cloud Engineering,United Kingdom,2020-11-04,2025-08-16,2025-02-13,11,22,Country Manager,True,False,True,4,3,E,CPD3E
Daniel Graham,int:Daniel Graham,int:Associate Azure Engineer,daniel.graham@example.com,danielgraham,ext_0460f92c,0460f92c,cv_0460f92c,703-892-6142x93968,001-821-785-0163x15999,1969,Cloud Engineering,United Kingdom,2022-07-12,2025-05-22,2025-08-28,18,13,Country Manager,True,True,False,2,1,E,CPD1E
Shawn Mckay,int:Shawn Mckay,int:Principal AWS Engineer,shawn.mckay@example.org,shawnmckay,ext_f45bffe6,f45bffe6,cv_f45bffe6,4478735866,494-831-1426,1969,Cloud Engineering,Slovenia,2023-03-06,2025-07-13,2025-10-24,11,20,Administrator,True,False,True,5,3,L,CPD3L
Nancy Baker,int:Nancy Baker,int:Consultant C# Developer,nancy.baker@example.org,nancybaker,ext_c54f702f,c54f702f,cv_c54f702f,951-810-4754x12126,801-258-1995,2000,Software Engineering,United Kingdom,2022-08-19,2025-09-03,2024-12-12,19,20,Administrator,False,True,False,3,2,L,CPD2L
Vincent White,int:Vincent White,int:Consultant Python Developer,vincent.white@mail.test,vincentwhite,ext_2013b4d3,2013b4d3,cv_2013b4d3,666-618-3982x6224,921.526.4647x1543,1995,Data Engineering,USA,2019-08-23,2025-04-20,2025-08-31,15,21,Country Manager,False,False,False,3,2,L,CPD2L
Rita Harrell,int:Rita Harrell,int:Consultant Kubernetes Engineer,rita.harrell@mail.test,ritaharrell,ext_d86df6fa,d86df6fa,cv_d86df6fa,812.440.6596x575,759-837-5265x4793,1982,Cloud Engineering,United Kingdom,2022-07-03,2025-05-01,2025-07-14,17,2,User,False,False,True,3,2,L,CPD2L
Kenneth Fowler,int:Kenneth Fowler,int:Senior Frontend Engineer,kenneth.fowler@example.com,kennethfowler,ext_dc818a17,dc818a17,cv_dc818a17,565-919-3982x807,916-872-4342x6617,1973,Software Engineering,Ireland,2019-11-14,2025-08-11,2025-01-19,10,9,User,False,True,True,4,3,E,CPD3E
Chelsea Hernandez,int:Chelsea Hernandez,int:Senior Data Engineer,chelsea.hernandez@example.org,chelseahernandez,ext_d67cec20,d67cec20,cv_d67cec20,+1-386-580-5891,+1-552-990-9656x10143,1987,Data Engineering,India,2025-09-14,2025-04-26,2025-07-16,11,24,Administrator,False,True,True,4,3,E,CPD3E
Kathryn Ryan,int:Kathryn Ryan,int:Principal MLOps Engineer,kathryn.ryan@mail.test,kathrynryan,ext_caea0c00,caea0c00,cv_caea0c00,(367)398-2507x146,001-925-745-7387x5717,1990,Data Engineering,Ireland,2022-06-01,2025-06-05,2025-08-03,18,16,Country Manager,False,True,False,5,3,L,CPD3L
Kimberly Moreno,int:Kimberly Moreno,int:Senior Data Architect,kimberly.moreno@mail.test,kimberlymoreno,ext_3814f090,3814f090,cv_3814f090,440-410-5123,886-873-6226x60937,1969,Architecture,USA,2022-12-13,2025-05-05,2025-01-28,14,5,User,True,False,True,4,3,E,CPD3E
Aaron Nguyen,int:Aaron Nguyen,int:Senior Backend Engineer,aaron.nguyen@mail.test,aaronnguyen,ext_7ca85438,7ca85438,cv_7ca85438,7337419182,871.347.8596,1999,Software Engineering,Australia,2018-09-05,2025-02-09,2025-03-10,17,6,User,False,True,True,4,3,E,CPD3E
Andrew Hickman,int:Andrew Hickman,int:Associate AI Engineer,andrew.hickman@example.org,andrewhickman,ext_9e7bcf42,9e7bcf42,cv_9e7bcf42,(557)692-4991x251,825-828-6692,1972,AI/ML,India,2018-05-19,2025-11-11,2025-07-27,16,5,Administrator,True,True,True,2,1,E,CPD1E
Natasha Decker,int:Natasha Decker,int:Lead Enterprise Architect,natasha.decker@example.com,natashadecker,ext_c39a1d72,c39a1d72,cv_c39a1d72,(478)728-2742,890.950.7236x887,1999,Architecture,Ireland,2025-09-12,2025-03-03,2024-11-23,10,1,Administrator,False,False,True,6,4,E,CPD4E
Kyle Brown,int:Kyle Brown,int:Lead Solution Architect,kyle.brown@mail.test,kylebrown,ext_a0af58ed,a0af58ed,cv_a0af58ed,(477)921-9034x04384,001-778-281-9148,1977,Architecture,United Kingdom,2023-03-04,2025-04-22,2025-03-25,15,9,Administrator,False,True,False,6,4,E,CPD4E
Natalie Arroyo,int:Natalie Arroyo,int:Consultant Analytics Engineer,natalie.arroyo@example.org,nataliearroyo,ext_f4354b3c,f4354b3c,cv_f4354b3c,001-378-536-1340x74517,595.296.2923,1970,Data Engineering,Slovenia,2024-10-29,2024-11-21,2025-08-20,16,18,Country Manager,False,True,True,3,2,L,CPD2L
Christopher Tucker,int:Christopher Tucker,int:Associate Backend Engineer,christopher.tucker@example.org,christophertucker,ext_373cb046,373cb046,cv_373cb046,001-658-649-8254,412.660.4223x25367,2001,Software Engineering,USA,2025-05-25,2024-11-30,2025-06-25,19,16,Administrator,False,True,True,2,1,E,CPD1E
Chad Hodges,int:Chad Hodges,int:Senior .NET Engineer,chad.hodges@example.org,chadhodges,ext_b24c147e,b24c147e,cv_b24c147e,+1-266-371-1684x5775,001-775-418-6363x7454,1969,Software Engineering,India,2023-07-21,2025-01-29,2025-04-30,16,3,User,False,True,True,4,3,E,CPD3E
Katie Anderson,int:Katie Anderson,int:Consultant Analytics Engineer,katie.anderson@example.com,katieanderson,ext_4059b0ed,4059b0ed,cv_4059b0ed,001-475-900-1701,706.432.4241x541,1973,Data Engineering,India,2020-04-04,2025-05-25,2025-01-10,10,4,User,False,True,True,3,2,L,CPD2L
Thomas Pierce,int:Thomas Pierce,int:Consultant Data Platform Engineer,thomas.pierce@mail.test,thomaspierce,ext_510fbacc,510fbacc,cv_510fbacc,9643361103,(893)487-0051,1985,Data Engineering,India,2020-10-27,2024-12-02,2025-01-20,15,18,Country Manager,False,False,True,3,2,L,CPD2L
Joseph Brennan,int:Joseph Brennan,int:Consultant DevOps Engineer,joseph.brennan@example.org,josephbrennan,ext_1d89c7e9,1d89c7e9,cv_1d89c7e9,413.361.1155x4262,390.492.7532x69731,1972,Cloud Engineering,United Kingdom,2024-12-14,2025-05-15,2025-09-22,16,23,Country Manager,True,False,False,3,2,L,CPD2L
Rodney Lewis,int:Rodney Lewis,int:Consultant Data Platform Engineer,rodney.lewis@example.org,rodneylewis,ext_4b01c511,4b01c511,cv_4b01c511,001-619-265-6523x41389,+1-543-989-8364x03761,1976,Data Engineering,Ireland,2024-11-23,2025-10-01,2025-05-18,17,18,Administrator,False,True,True,3,2,L,CPD2L
Amber Blair,int:Amber Blair,int:Principal Backend Engineer,amber.blair@mail.test,amberblair,ext_a405f9c2,a405f9c2,cv_a405f9c2,+1-491-980-5526x9658,001-810-891-0430x06848,1968,Software Engineering,India,2022-08-08,2025-08-21,2025-09-05,11,24,Country Manager,True,True,False,5,3,L,CPD3L
James Collins,int:James Collins,int:Consultant Python Developer,james.collins@example.com,jamescollins,ext_105c1bc3,105c1bc3,cv_105c1bc3,001-561-488-9241x418,+1-556-391-4630,1995,Data Engineering,Ireland,2022-10-12,2024-12-30,2025-03-07,17,3,Country Manager,False,False,True,3,2,L,CPD2L
Wanda Santos,int:Wanda Santos,int:Senior Data Engineer,wanda.santos@mail.test,wandasantos,ext_8f13adc6,8f13adc6,cv_8f13adc6,(717)699-0421x02027,(352)641-0564,1968,Data Engineering,United Kingdom,2021-06-09,2025-06-15,2025-06-04,15,15,Country Manager,False,False,True,4,3,E,CPD3E
Samuel Holmes,int:Samuel Holmes,int:Senior Data Platform Engineer,samuel.holmes@example.org,samuelholmes,ext_3ac7dff0,3ac7dff0,cv_3ac7dff0,001-491-677-8507x925,001-419-413-8000x30756,1993,Data Engineering,Slovenia,2022-04-18,2025-04-28,2025-05-13,19,8,Country Manager,False,False,False,4,3,E,CPD3E
David Walker,int:David Walker,int:Consultant MLOps Engineer,david.walker@example.org,davidwalker,ext_25159f64,25159f64,cv_25159f64,3867353654,980-623-8061,1969,Data Engineering,India,2020-09-12,2025-09-05,2024-12-26,17,10,User,True,False,False,3,2,L,CPD2L
Matthew Chapman,int:Matthew Chapman,int:Principal Frontend Engineer,matthew.chapman@example.org,matthewchapman,ext_5b0c4c7f,5b0c4c7f,cv_5b0c4c7f,001-945-718-7053x49493,001-573-783-2060,1972,Software Engineering,Ireland,2020-11-02,2024-11-21,2025-02-14,19,13,User,False,True,False,5,3,L,CPD3L
Jerry Robinson,int:Jerry Robinson,int:Principal Data Architect,jerry.robinson@example.org,jerryrobinson,ext_3762d804,3762d804,cv_3762d804,+1-405-606-4138x3670,303-486-5719,1978,Architecture,United Kingdom,2018-08-14,2025-09-22,2025-11-10,19,21,User,False,False,False,5,3,L,CPD3L
Chad Welch,int:Chad Welch,int:Principal Full-stack Engineer,chad.welch@example.com,chadwelch,ext_a6b74589,a6b74589,cv_a6b74589,+1-761-799-0623x4456,943.713.2912x127,1982,Software Engineering,United Kingdom,2020-11-16,2025-03-13,2025-09-23,17,25,Country Manager,True,False,True,5,3,L,CPD3L
Jeremy Whitehead,int:Jeremy Whitehead,int:Principal Data Architect,jeremy.whitehead@example.org,jeremywhitehead,ext_30403ea7,30403ea7,cv_30403ea7,(218)553-7474x11249,521-335-6804x42067,1987,Architecture,United Kingdom,2022-01-10,2025-04-05,2024-11-24,18,16,Country Manager,False,False,True,5,3,L,CPD3L
Michele Jones,int:Michele Jones,int:Consultant Analytics Engineer,michele.jones@example.org,michelejones,ext_f9b213e9,f9b213e9,cv_f9b213e9,612.310.0323x651,9132721510,1969,Data Engineering,United Kingdom,2022-01-10,2025-05-30,2025-02-02,20,6,User,True,True,True,3,2,L,CPD2L
John Caldwell,int:John Caldwell,int:Principal Databricks Engineer,john.caldwell@example.org,johncaldwell,ext_29499d79,29499d79,cv_29499d79,(796)567-0662,(544)672-0999,1979,Data Engineering,Australia,2023-10-14,2025-04-30,2025-11-13,16,1,User,True,False,False,5,3,L,CPD3L
Jason Anderson,int:Jason Anderson,int:Consultant Analytics Engineer,jason.anderson@example.com,jasonanderson,ext_3d4d0885,3d4d0885,cv_3d4d0885,268.870.1462x6383,001-257-787-5985x642,1974,Data Engineering,United Kingdom,2019-11-08,2024-12-07,2025-03-10,15,7,Administrator,False,True,False,3,2,L,CPD2L
Selena Duncan,int:Selena Duncan,int:Principal Databricks Engineer,selena.duncan@example.org,selenaduncan,ext_9edafdd8,9edafdd8,cv_9edafdd8,+1-530-540-7859x321,780-239-6522x395,1993,Data Engineering,Spain,2019-04-17,2024-12-06,2025-09-08,15,15,Administrator,True,False,True,5,3,L,CPD3L
