Email,UPN,External User ID,CV Partner User ID,Clearance,Valid From,Valid To,Verified By,Notes
thomas.pierce@mail.test,thomaspierce,ext_d77eff7c,d77eff7c,SC,2023-04-20,,Security,Imported from legacy sheet
joseph.brennan@example.org,josephbrennan,ext_ae0c5969,ae0c5969,None,,,PMO,
rodney.lewis@example.org,rodneylewis,ext_c2861846,c2861846,None,,,HR,Imported from legacy sheet
amber.blair@mail.test,amberblair,ext_47e69995,47e69995,NPPV2,2024-11-30,,Security,
james.collins@example.com,jamescollins,ext_6240ca30,6240ca30,None,,,HR,Imported from legacy sheet
wanda.santos@mail.test,wandasantos,ext_491cc29b,491cc29b,SC,2023-04-06,,Security,
samuel.holmes@example.org,samuelholmes,ext_9471e95b,9471e95b,NPPV2,2023-03-10,,HR,Imported from legacy sheet
david.walker@example.org,davidwalker,ext_0a1b39ea,0a1b39ea,None,,,HR,Imported from legacy sheet
matthew.chapman@example.org,matthewchapman,ext_5e4ab942,5e4ab942,SC,2024-02-27,,PMO,Imported from legacy sheet
jerry.robinson@example.org,jerryrobinson,ext_61c10a63,61c10a63,None,,,PMO,Imported from legacy sheet
chad.welch@example.com,chadwelch,ext_bcba72c8,bcba72c8,NPPV2,2024-01-24,,HR,Imported from legacy sheet
jeremy.whitehead@example.org,jeremywhitehead,ext_e690e869,e690e869,None,,,PMO,Imported from legacy sheet
michele.jones@example.org,michelejones,ext_73d7be0d,73d7be0d,SC,2023-01-27,,HR,Imported from legacy sheet
john.caldwell@example.org,johncaldwell,ext_93f8cb6f,93f8cb6f,NPPV2,2024-07-12,,Security,Imported from legacy sheet
jason.anderson@example.com,jasonanderson,ext_1b095718,1b095718,None,,,PMO,
selena.duncan@example.org,selenaduncan,ext_b5a69c1e,b5a69c1e,None,,,Security,Imported from legacy sheet
thomas.mueller@example.org,thomasmueller,ext_33207df7,33207df7,None,,,PMO,
lindsey.lee@example.com,lindseylee,ext_7260d433,7260d433,None,,,Security,Imported from legacy sheet
collin.jordan@example.com,collinjordan,ext_1d866654,1d866654,NPPV2,2025-01-16,,HR,Imported from legacy sheet
rodney.owens@example.org,rodneyowens,ext_1555b35d,1555b35d,NPPV2,2025-07-14,,Security,Imported from legacy sheet
jessica.nunez@example.org,jessicanunez,ext_a5cb048b,a5cb048b,None,,,PMO,Imported from legacy sheet
tracey.garcia@mail.test,traceygarcia,ext_ba499556,ba499556,None,,,PMO,Imported from legacy sheet
richard.morgan@example.org,richardmorgan,ext_4a4f3cd0,4a4f3cd0,SC,2024-04-29,,PMO,Imported from legacy sheet
michelle.wright@mail.test,michellewright,ext_0c325b04,0c325b04,None,,,HR,Imported from legacy sheet
james.west@example.org,jameswest,ext_545c8b53,545c8b53,SC,2023-05-08,,HR,Imported from legacy sheet
robert.ramirez@example.org,robertramirez,ext_3414a5bc,3414a5bc,SC,2023-06-01,,HR,Imported from legacy sheet
john.leblanc@mail.test,johnleblanc,ext_6f740f25,6f740f25,None,,,Security,Imported from legacy sheet
scott.callahan@example.org,scottcallahan,ext_3bd69e2d,3bd69e2d,None,,,HR,
andrea.williams@mail.test,andreawilliams,ext_987ebd7b,987ebd7b,SC,2024-02-01,,PMO,
yvette.huff@mail.test,yvettehuff,ext_87761ba7,87761ba7,None,,,PMO,Imported from legacy sheet
tanya.house@mail.test,tanyahouse,ext_c077e726,c077e726,None,,,PMO,Imported from legacy sheet
melinda.martin@example.com,melindamartin,ext_ceb12e0b,ceb12e0b,None,,,PMO,Imported from legacy sheet
todd.lewis@example.org,toddlewis,ext_c9728616,c9728616,None,,,PMO,Imported from legacy sheet
richard.brown@example.org,richardbrown,ext_3c95f6dc,3c95f6dc,None,,,PMO,Imported from legacy sheet
nicholas.galloway@example.com,nicholasgalloway,ext_bf6cac5e,bf6cac5e,None,,,HR,Imported from legacy sheet
joseph.bowers@example.com,josephbowers,ext_a6487892,a6487892,None,,,PMO,
spencer.henderson@example.org,spencerhenderson,ext_1264af99,1264af99,None,,,Security,Imported from legacy sheet
susan.cowan@mail.test,susancowan,ext_a6bb9668,a6bb9668,NPPV2,2023-05-10,,Security,Imported from legacy sheet
angela.higgins@example.com,angelahiggins,ext_91c1a26a,91c1a26a,SC,2023-01-08,,PMO,Imported from legacy sheet
eric.phillips@example.com,ericphillips,ext_94339b17,94339b17,SC,2025-01-11,,PMO,
tanya.riley@example.com,tanyariley,ext_f455c707,f455c707,None,,,Security,Imported from legacy sheet
amy.adkins@mail.test,amyadkins,ext_dbee1c02,dbee1c02,None,,,Security,Imported from legacy sheet
brian.silva@mail.test,briansilva,ext_23664ce4,23664ce4,NPPV2,2025-01-31,,PMO,Imported from legacy sheet
wesley.farrell@mail.test,wesleyfarrell,ext_8410ada1,8410ada1,None,,,HR,Imported from legacy sheet
eric.yu@example.com,ericyu,ext_5bf28ddc,5bf28ddc,None,,,HR,Imported from legacy sheet
christopher.lopez@mail.test,christopherlopez,ext_90475783,90475783,None,,,PMO,Imported from legacy sheet
brooke.leonard@example.com,brookeleonard,ext_58b1a7c0,58b1a7c0,None,,,PMO,Imported from legacy sheet
joe.wilson@mail.test,joewilson,ext_d948cfb7,d948cfb7,None,,,PMO,Imported from legacy sheet
pamela.sanchez@mail.test,pamelasanchez,ext_dbe2732d,dbe2732d,SC,2024-03-08,,Security,Imported from legacy sheet
brooke.harvey@example.com,brookeharvey,ext_6184e73b,6184e73b,None,,,HR,Imported from legacy sheet
robert.silva@mail.test,robertsilva,ext_009f1137,009f1137,None,,,PMO,Imported from legacy sheet
alexandra.donovan@example.org,alexandradonovan,ext_71086d7e,71086d7e,NPPV2,2024-07-20,,Security,Imported from legacy sheet
james.moran@example.org,jamesmoran,ext_190291cf,190291cf,None,,,HR,Imported from legacy sheet
john.foster@mail.test,johnfoster,ext_64678255,64678255,None,,,HR,Imported from legacy sheet
emily.evans@mail.test,emilyevans,ext_19fb7f0a,19fb7f0a,SC,2023-07-31,,Security,Imported from legacy sheet
leslie.walton@example.org,lesliewalton,ext_b2d8a112,b2d8a112,SC,2025-03-26,,Security,Imported from legacy sheet
charles.ellis@example.com,charlesellis,ext_e2e9350a,e2e9350a,None,,,HR,Imported from legacy sheet
yolanda.ferrell@example.com,yolandaferrell,ext_73214808,73214808,NPPV2,2025-07-19,,PMO,Imported from legacy sheet
charles.lewis@example.com,charleslewis,ext_556e42f7,556e42f7,None,,,Security,Imported from legacy sheet
joseph.mahoney@example.com,josephmahoney,ext_707c9816,707c9816,None,,,HR,
nicole.suarez@mail.test,nicolesuarez,ext_52091eff,52091eff,None,,,PMO,Imported from legacy sheet
mike.moore@mail.test,mikemoore,ext_5506e5c9,5506e5c9,None,,,HR,Imported from legacy sheet
martha.warner@example.org,marthawarner,ext_b52e1b3a,b52e1b3a,None,,,Security,Imported from legacy sheet
cheryl.archer@example.com,cherylarcher,ext_cfae6f9d,cfae6f9d,NPPV2,2024-04-21,,HR,Imported from legacy sheet
destiny.smith@mail.test,destinysmith,ext_5a91b20b,5a91b20b,None,,,Security,Imported from legacy sheet
lisa.evans@mail.test,lisaevans,ext_a60df3d5,a60df3d5,None,,,Security,Imported from legacy sheet
elizabeth.mcmillan@example.org,elizabethmcmillan,ext_ababf887,ababf887,SC,2025-03-05,,Security,Imported from legacy sheet
dennis.wilson@example.org,denniswilson,ext_cf485d08,cf485d08,None,,,Security,Imported from legacy sheet
daniel.tran@example.org,danieltran,ext_74471093,74471093,None,,,HR,
joseph.jacobs@example.com,josephjacobs,ext_faa25619,faa25619,None,,,HR,Imported from legacy sheet
jennifer.harris@example.org,jenniferharris,ext_df3868fd,df3868fd,SC,2023-04-18,,PMO,Imported from legacy sheet
cynthia.baker@example.com,cynthiabaker,ext_08aaad2b,08aaad2b,None,,,PMO,Imported from legacy sheet
tracy.whitehead@example.com,tracywhitehead,ext_7f9983f0,7f9983f0,None,,,Security,Imported from legacy sheet
meghan.davis@mail.test,meghandavis,ext_876c0b7e,876c0b7e,None,,,Security,Imported from legacy sheet
rodney.hill@example.org,rodneyhill,ext_5c253527,5c253527,None,,,Security,Imported from legacy sheet
adam.wise@example.org,adamwise,ext_a8aebfdf,a8aebfdf,NPPV2,2025-03-26,,Security,Imported from legacy sheet
dana.green@example.org,danagreen,ext_8766e68f,8766e68f,None,,,Security,
joyce.arnold@example.com,joycearnold,ext_ea658ad8,ea658ad8,None,,,PMO,Imported from legacy sheet
ronald.smith@mail.test,ronaldsmith,ext_a34ca3e9,a34ca3e9,None,,,PMO,Imported from legacy sheet
charles.ware@example.com,charlesware,ext_c194ec40,c194ec40,None,,,PMO,Imported from legacy sheet
rebecca.gardner@example.com,rebeccagardner,ext_957f1175,957f1175,SC,2025-05-05,,HR,Imported from legacy sheet
mary.aguilar@example.org,maryaguilar,ext_736dfc48,736dfc48,SC,2024-02-06,,PMO,Imported from legacy sheet
earl.anderson@example.com,earlanderson,ext_a68387c0,a68387c0,SC,2023-09-10,,HR,Imported from legacy sheet
kyle.nolan@mail.test,kylenolan,ext_56c1baa5,56c1baa5,None,,,PMO,Imported from legacy sheet
laura.valencia@mail.test,lauravalencia,ext_baa47049,baa47049,SC,2023-07-22,,PMO,Imported from legacy sheet
rachel.clark@mail.test,rachelclark,ext_3a2391e9,3a2391e9,None,,,Security,Imported from legacy sheet
john.garcia@example.com,johngarcia,ext_fa588e66,fa588e66,None,,,Security,Imported from legacy sheet
kimberly.henson@mail.test,kimberlyhenson,ext_39caa130,39caa130,None,,,Security,Imported from legacy sheet
richard.oliver@example.com,richardoliver,ext_d1656e77,d1656e77,None,,,HR,Imported from legacy sheet
eric.spears@mail.test,ericspears,ext_8128faf2,8128faf2,None,,,HR,Imported from legacy sheet
michelle.cherry@example.com,michellecherry,ext_7a5ea8fc,7a5ea8fc,None,,,PMO,Imported from legacy sheet
lisa.keith@example.com,lisakeith,ext_2b099cfc,2b099cfc,None,,,Security,Imported from legacy sheet
angel.doyle@example.com,angeldoyle,ext_18926fe7,18926fe7,None,,,Security,Imported from legacy sheet
martin.galvan@example.com,martingalvan,ext_1573f685,1573f685,NPPV2,2024-12-03,,HR,Imported from legacy sheet
leah.shields@mail.test,leahshields,ext_2c6cafaf,2c6cafaf,SC,2023-10-14,,PMO,Imported from legacy sheet
lisa.adams@mail.test,lisaadams,ext_98995e6f,98995e6f,SC,2024-07-27,,HR,Imported from legacy sheet
kristin.rodriguez@example.com,kristinrodriguez,ext_e3730aec,e3730aec,SC,2023-10-30,,HR,Imported from legacy sheet
monica.garrison@example.org,monicagarrison,ext_92b42410,92b42410,None,,,PMO,Imported from legacy sheet
jeffrey.velasquez@example.org,jeffreyvelasquez,ext_5f5b4fe4,5f5b4fe4,NPPV2,2023-12-08,,PMO,Imported from legacy sheet
steven.torres@example.org,steventorres,ext_e30791dd,e30791dd,None,,,Security,Imported from legacy sheet
laura.perez@example.com,lauraperez,ext_e866925a,e866925a,None,,,HR,
andrew.lee@example.com,andrewlee,ext_1f681b0e,1f681b0e,None,,,Security,Imported from legacy sheet
mark.lin@mail.test,marklin,ext_05054811,05054811,SC,2025-02-13,,PMO,Imported from legacy sheet
tammy.ramirez@example.com,tammyramirez,ext_c173e495,c173e495,None,,,HR,Imported from legacy sheet
darlene.ross@mail.test,darleneross,ext_7003144f,7003144f,NPPV2,2025-01-29,,HR,Imported from legacy sheet
tina.herrera@example.com,tinaherrera,ext_19c07e54,19c07e54,None,,,Security,Imported from legacy sheet
sheila.wilson@mail.test,sheilawilson,ext_3c1b0fc6,3c1b0fc6,None,,,Security,Imported from legacy sheet
tara.white@example.org,tarawhite,ext_264719ad,264719ad,SC,2023-03-18,,HR,Imported from legacy sheet
sydney.baker@example.org,sydneybaker,ext_7da1d067,7da1d067,NPPV2,2025-06-15,,HR,Imported from legacy sheet
daniel.hamilton@example.com,danielhamilton,ext_24bba6d6,24bba6d6,None,,,Security,Imported from legacy sheet
jessica.edwards@example.com,jessicaedwards,ext_66c74acd,66c74acd,None,,,PMO,Imported from legacy sheet
catherine.dixon@mail.test,catherinedixon,ext_f47d2e2d,f47d2e2d,None,,,HR,Imported from legacy sheet
paul.ray@mail.test,paulray,ext_4fdbcce9,4fdbcce9,None,,,PMO,Imported from legacy sheet
jonathan.fletcher@example.com,jonathanfletcher,ext_65165201,65165201,None,,,HR,Imported from legacy sheet
aaron.frost@mail.test,aaronfrost,ext_67ff5b1f,67ff5b1f,None,,,PMO,Imported from legacy sheet
amanda.ball@example.com,amandaball,ext_44b8accb,44b8accb,None,,,HR,Imported from legacy sheet
judy.lambert@mail.test,judylambert,ext_cf7729da,cf7729da,None,,,HR,Imported from legacy sheet
michael.jones@example.com,michaeljones,ext_de0280ed,de0280ed,None,,,HR,Imported from legacy sheet
elizabeth.rivera@mail.test,elizabethrivera,ext_81c6296b,81c6296b,NPPV2,2023-06-19,,PMO,Imported from legacy sheet
lee.charles@example.org,leecharles,ext_2ee4b749,2ee4b749,SC,2023-09-01,,PMO,Imported from legacy sheet
jennifer.evans@mail.test,jenniferevans,ext_c66c3ca0,c66c3ca0,None,,,Security,Imported from legacy sheet
kyle.ortiz@example.org,kyleortiz,ext_59448ae3,59448ae3,None,,,Security,Imported from legacy sheet
richard.phillips@example.com,richardphillips,ext_6378544e,6378544e,None,,,Security,
david.fisher@example.com,davidfisher,ext_84e92e5e,84e92e5e,SC,2023-03-11,,HR,Imported from legacy sheet
shelby.byrd@example.com,shelbybyrd,ext_63f565ed,63f565ed,None,,,HR,Imported from legacy sheet
raven.gilbert@mail.test,ravengilbert,ext_8612c0a2,8612c0a2,None,,,HR,Imported from legacy sheet
kevin.kelley@example.org,kevinkelley,ext_a2477fd6,a2477fd6,None,,,HR,Imported from legacy sheet
aaron.mitchell@example.com,aaronmitchell,ext_3b8a1757,3b8a1757,SC,2025-04-13,,PMO,Imported from legacy sheet
russell.carpenter@example.com,russellcarpenter,ext_0b913361,0b913361,None,,,Security,Imported from legacy sheet
diana.marshall@example.com,dianamarshall,ext_e7378fd0,e7378fd0,SC,2024-12-23,,PMO,Imported from legacy sheet
scott.lewis@example.com,scottlewis,ext_6aa3ea54,6aa3ea54,None,,,Security,
thomas.santana@mail.test,thomassantana,ext_ebdd8ea8,ebdd8ea8,None,,,HR,Imported from legacy sheet
laura.jackson@example.org,laurajackson,ext_b8392a08,b8392a08,None,,,Security,Imported from legacy sheet
christopher.robertson@example.com,christopherrobertson,ext_ce989446,ce989446,SC,2023-09-12,,PMO,Imported from legacy sheet
cynthia.rogers@example.org,cynthiarogers,ext_9d54a514,9d54a514,None,,,PMO,Imported from legacy sheet
loretta.potter@example.com,lorettapotter,ext_d6d1179d,d6d1179d,SC,2022-12-12,,Security,Imported from legacy sheet
emily.walker@example.com,emilywalker,ext_311589ea,311589ea,None,,,PMO,Imported from legacy sheet
james.johnson@example.org,jamesjohnson,ext_fc5b4fe2,fc5b4fe2,None,,,Security,Imported from legacy sheet
john.alvarez@example.com,johnalvarez,ext_1eda817b,1eda817b,None,,,HR,Imported from legacy sheet
melissa.jones@example.com,melissajones,ext_98154d34,98154d34,SC,2025-09-02,,Security,Imported from legacy sheet
robert.soto@example.com,robertsoto,ext_e4b7cc24,e4b7cc24,None,,,PMO,Imported from legacy sheet
james.horton@example.com,jameshorton,ext_73d179ab,73d179ab,SC,2024-03-31,,HR,Imported from legacy sheet
troy.sanchez@mail.test,troysanchez,ext_4d572907,4d572907,None,,,PMO,Imported from legacy sheet
diana.smith@example.org,dianasmith,ext_15282333,15282333,None,,,PMO,Imported from legacy sheet
karen.carrillo@mail.test,karencarrillo,ext_8a213a09,8a213a09,None,,,PMO,Imported from legacy sheet
daniel.coleman@example.org,danielcoleman,ext_041bcdf7,041bcdf7,None,,,Security,Imported from legacy sheet
gregory.rubio@mail.test,gregoryrubio,ext_efde6ea7,efde6ea7,SC,2025-04-23,,PMO,Imported from legacy sheet
april.williams@mail.test,aprilwilliams,ext_ed7c8ab1,ed7c8ab1,None,,,Security,Imported from legacy sheet
john.charles@example.org,johncharles,ext_758a671c,758a671c,NPPV2,2023-03-07,,Security,Imported from legacy sheet
stephen.solis@example.org,stephensolis,ext_f3a88d1e,f3a88d1e,None,,,Security,Imported from legacy sheet
elizabeth.travis@mail.test,elizabethtravis,ext_10ed53c0,10ed53c0,None,,,PMO,Imported from legacy sheet
caitlin.dodson@mail.test,caitlindodson,ext_2e931c26,2e931c26,None,,,PMO,Imported from legacy sheet
patricia.salazar@mail.test,patriciasalazar,ext_82074458,82074458,None,,,PMO,Imported from legacy sheet
jennifer.wagner@mail.test,jenniferwagner,ext_1a2a8188,1a2a8188,None,,,HR,Imported from legacy sheet
maria.kelley@mail.test,mariakelley,ext_635f9e16,635f9e16,None,,,PMO,Imported from legacy sheet
phyllis.manning@mail.test,phyllismanning,ext_e4651a70,e4651a70,None,,,PMO,Imported from legacy sheet
thomas.green@mail.test,thomasgreen,ext_4d75eded,4d75eded,NPPV2,2023-10-11,,PMO,Imported from legacy sheet
john.walsh@example.org,johnwalsh,ext_391efb8e,391efb8e,None,,,HR,Imported from legacy sheet
katie.boyd@example.org,katieboyd,ext_d1ccc58c,d1ccc58c,NPPV2,2024-09-25,,HR,Imported from legacy sheet
courtney.hill@example.org,courtneyhill,ext_82db951d,82db951d,None,,,PMO,Imported from legacy sheet
chris.mitchell@mail.test,chrismitchell,ext_97d89180,97d89180,SC,2025-07-22,,Security,Imported from legacy sheet
joseph.flores@example.com,josephflores,ext_0c1ae51a,0c1ae51a,None,,,PMO,Imported from legacy sheet
amber.taylor@mail.test,ambertaylor,ext_890629e5,890629e5,SC,2024-04-30,,PMO,Imported from legacy sheet
jesse.benson@example.com,jessebenson,ext_7e5d7715,7e5d7715,SC,2024-11-26,,Security,Imported from legacy sheet
jasmine.brown@example.com,jasminebrown,ext_3eb64aca,3eb64aca,SC,2023-01-07,,PMO,Imported from legacy sheet
rick.daniels@example.com,rickdaniels,ext_d8d7dad1,d8d7dad1,None,,,HR,Imported from legacy sheet
robert.clark@example.com,robertclark,ext_478b242d,478b242d,None,,,PMO,Imported from legacy sheet
robert.stein@example.com,robertstein,ext_28484441,28484441,None,,,Security,Imported from legacy sheet
brandy.dominguez@example.com,brandydominguez,ext_6786151e,6786151e,None,,,PMO,Imported from legacy sheet
melissa.cannon@example.org,melissacannon,ext_706dd3d6,706dd3d6,None,,,PMO,Imported from legacy sheet
omar.smith@example.com,omarsmith,ext_e956db2a,e956db2a,None,,,Security,Imported from legacy sheet
michael.molina@mail.test,michaelmolina,ext_ad0d5dbd,ad0d5dbd,NPPV2,2025-04-19,,HR,Imported from legacy sheet
melissa.ashley@example.org,melissaashley,ext_0ea3645a,0ea3645a,None,,,PMO,Imported from legacy sheet
robert.adkins@example.com,robertadkins,ext_8819315f,8819315f,None,,,PMO,Imported from legacy sheet
amy.morrison@mail.test,amymorrison,ext_751b7512,751b7512,None,,,PMO,Imported from legacy sheet
jeffrey.robinson@example.com,jeffreyrobinson,ext_dc290325,dc290325,NPPV2,2025-04-28,,Security,
ryan.johnson@example.com,ryanjohnson,ext_2fdb0ed8,2fdb0ed8,None,,,Security,Imported from legacy sheet
matthew.shelton@mail.test,matthewshelton,ext_01e5cd4d,01e5cd4d,None,,,HR,Imported from legacy sheet
richard.martin@mail.test,richardmartin,ext_1ec5a515,1ec5a515,None,,,HR,Imported from legacy sheet
tanner.anderson@example.com,tanneranderson,ext_19513cf6,19513cf6,NPPV2,2022-12-26,,HR,Imported from legacy sheet
cindy.johnson@example.com,cindyjohnson,ext_72e04a51,72e04a51,None,,,Security,Imported from legacy sheet
phillip.elliott@example.com,phillipelliott,ext_328a9da6,328a9da6,None,,,Security,
anthony.day@example.com,anthonyday,ext_8af29aea,8af29aea,None,,,Security,Imported from legacy sheet
derek.murray@example.org,derekmurray,ext_dd5d10aa,dd5d10aa,None,,,Security,Imported from legacy sheet
brent.gray@example.org,brentgray,ext_72fffcec,72fffcec,None,,,HR,
jason.murphy@example.org,jasonmurphy,ext_60c36a34,60c36a34,SC,2025-05-12,,Security,
