Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner section ID,External unique ID,Updated,Updated by owner,Month from,Year from,Month to,Year to,Highlighted,Attachments,Place of study,Degree,Description
Anthony Gonzalez,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_16c07588,16c07588,cv_16c07588,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,299d3499,75525689,2023-01-26,2024-06-03,11,2019,1,2022,False,,OU,BEng Software Eng,Thesis on scalable data pipelines.
Lisa Smith,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_40e1a417,40e1a417,cv_40e1a417,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,bae8231f,7bfa531c,2023-04-10,2023-09-24,11,2012,3,2014,False,diploma.pdf,UiO,BSc Computer Science,Thesis on scalable data pipelines.
Lisa Smith,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_40e1a417,40e1a417,cv_40e1a417,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,ed501744,7031aa07,2025-07-27,2023-04-04,12,2017,2,2022,False,diploma.pdf,NTNU,BSc Computer Science,Thesis on scalable data pipelines.
Linda Wolfe,int:Linda Wolfe,int:Consultant Data Engineer,linda.wolfe@example.com,lindawolfe,ext_8b4487bf,8b4487bf,cv_8b4487bf,001-468-316-4535,418.383.5523x12432,1970,Data Engineering,Spain,Swedish,9d384f7c,e0dda31a,2024-05-30,2025-09-13,2,2008,12,2012,True,diploma.pdf,NTNU,BEng Software Eng,Thesis on scalable data pipelines.
Matthew Moore,int:Matthew Moore,int:Principal ML Engineer,matthew.moore@example.org,matthewmoore,ext_dfd2e83e,dfd2e83e,cv_dfd2e83e,(777)499-7995,917.974.4905x814,1975,AI/ML,India,Swedish,9c34d91c,f45eb39a,2022-08-01,2023-06-25,4,2013,6,2014,True,diploma.pdf,KTH,BEng Software Eng,Thesis on scalable data pipelines.
Matthew Moore,int:Matthew Moore,int:Principal ML Engineer,matthew.moore@example.org,matthewmoore,ext_dfd2e83e,dfd2e83e,cv_dfd2e83e,(777)499-7995,917.974.4905x814,1975,AI/ML,India,Swedish,3e7bc66b,d7fe5747,2022-05-18,2023-02-13,5,2021,9,2022,False,diploma.pdf,UCL,BSc Computer Science,Thesis on scalable data pipelines.
Susan Rogers,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_c17ef460,c17ef460,cv_c17ef460,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,097df425,e972781e,2024-07-10,2024-04-17,3,2022,7,2022,True,diploma.pdf,OU,BSc Computer Science,Thesis on scalable data pipelines.
Susan Rogers,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_c17ef460,c17ef460,cv_c17ef460,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,9847d075,55ab80bc,2025-09-13,2023-01-06,11,2023,5,2023,True,diploma.pdf,OU,MSc Data Science,Thesis on scalable data pipelines.
Melanie Munoz,int:Melanie Munoz,int:Senior Cloud Architect,melanie.munoz@example.org,melaniemunoz,ext_baecb263,baecb263,cv_baecb263,392-651-9254x629,+1-265-728-1685,1970,Architecture,Spain,Danish,b36477bf,5eccdf63,2024-03-19,2025-09-15,6,2008,5,2008,True,diploma.pdf,NTNU,BSc Computer Science,Thesis on scalable data pipelines.
Lindsay Blair,int:Lindsay Blair,int:Consultant Data Architect,lindsay.blair@example.com,lindsayblair,ext_eab0c65e,eab0c65e,cv_eab0c65e,223-757-3322x1418,001-592-996-2229x27065,1980,Architecture,Australia,Norwegian,70f309de,d453a224,2025-08-05,2023-08-23,1,2009,11,2010,False,diploma.pdf,UiO,BEng Software Eng,
Lindsay Blair,int:Lindsay Blair,int:Consultant Data Architect,lindsay.blair@example.com,lindsayblair,ext_eab0c65e,eab0c65e,cv_eab0c65e,223-757-3322x1418,001-592-996-2229x27065,1980,Architecture,Australia,Norwegian,2648b555,532be326,2023-12-15,2022-11-05,11,2015,4,2015,True,diploma.pdf,UiO,BEng Software Eng,Thesis on scalable data pipelines.
Amanda Dudley,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_067f9cb4,067f9cb4,cv_067f9cb4,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,d6c495c5,96f140d1,2022-11-29,2025-05-30,12,2023,7,2023,True,diploma.pdf,NTNU,MSc Data Science,
Amanda Dudley,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_067f9cb4,067f9cb4,cv_067f9cb4,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,13c353a5,76e9266c,2024-03-01,2022-08-03,2,2018,8,2023,True,diploma.pdf,OU,BSc Computer Science,Thesis on scalable data pipelines.
Amanda Dudley,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_067f9cb4,067f9cb4,cv_067f9cb4,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,a5d09a0d,b9a01aff,2021-12-28,2025-10-26,5,2010,12,2010,True,diploma.pdf,UCL,MSc Data Science,Thesis on scalable data pipelines.
Nicholas Arnold,int:Nicholas Arnold,int:Principal Python Developer,nicholas.arnold@mail.test,nicholasarnold,ext_c1f788e8,c1f788e8,cv_c1f788e8,812-247-8261x3750,(485)236-1530x5152,1973,Data Engineering,India,British,4f944d75,8cde610b,2024-08-29,2022-04-04,4,2014,2,2018,False,diploma.pdf,OU,BSc Computer Science,Thesis on scalable data pipelines.
Nicholas Arnold,int:Nicholas Arnold,int:Principal Python Developer,nicholas.arnold@mail.test,nicholasarnold,ext_c1f788e8,c1f788e8,cv_c1f788e8,812-247-8261x3750,(485)236-1530x5152,1973,Data Engineering,India,British,f378c499,d7b9d2ee,2024-01-16,2024-08-20,7,2017,6,2018,True,diploma.pdf,OU,BSc Computer Science,Thesis on scalable data pipelines.
Janet Williams,int:Janet Williams,int:Senior Frontend Engineer,janet.williams@example.com,janetwilliams,ext_2f4a0467,2f4a0467,cv_2f4a0467,419.952.0585,001-772-621-7043x030,1991,Software Engineering,United Kingdom,Swedish,05f995e2,25636468,2022-02-19,2025-01-05,11,2018,3,2018,False,diploma.pdf,KTH,BEng Software Eng,Thesis on scalable data pipelines.
Jeremy Roberts,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_262a36f2,262a36f2,cv_262a36f2,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,d9aeae56,7a0fb81b,2024-06-23,2022-03-08,9,2020,2,2022,True,diploma.pdf,KTH,MSc Data Science,Thesis on scalable data pipelines.
Christopher Hall,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_74b8108e,74b8108e,cv_74b8108e,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,Swedish,1a781346,a00e813c,2022-01-29,2024-03-17,6,2020,7,2024,False,diploma.pdf,NTNU,BEng Software Eng,Thesis on scalable data pipelines.
Christopher Hall,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_74b8108e,74b8108e,cv_74b8108e,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,Swedish,d751aec2,dfe43083,2025-06-23,2025-08-27,1,2013,8,2018,False,diploma.pdf,OU,MSc Data Science,Thesis on scalable data pipelines.
Craig Ramirez,int:Craig Ramirez,int:Senior Data Platform Engineer,craig.ramirez@mail.test,craigramirez,ext_7afd6e05,7afd6e05,cv_7afd6e05,7298702135,001-409-727-5571,1975,Data Engineering,Spain,Swedish,9c099596,b7ac1d17,2025-03-24,2023-11-23,9,2017,12,2021,True,diploma.pdf,NTNU,BEng Software Eng,Thesis on scalable data pipelines.
Cynthia Diaz,int:Cynthia Diaz,int:Lead Enterprise Architect,cynthia.diaz@mail.test,cynthiadiaz,ext_3786a319,3786a319,cv_3786a319,(654)931-0278x6814,494.973.1217,1998,Architecture,United Kingdom,British,e980a9d1,74a66626,2023-08-25,2024-02-25,5,2013,3,2013,False,diploma.pdf,OU,MSc Data Science,
Mitchell Clark,int:Mitchell Clark,int:Senior Data Architect,mitchell.clark@example.org,mitchellclark,ext_5ec84817,5ec84817,cv_5ec84817,455-718-8442,431.332.3705x89578,1995,Architecture,Ireland,Danish,995d1429,dcb6179c,2023-01-12,2022-05-15,2,2010,1,2012,False,diploma.pdf,UiO,MSc Data Science,Thesis on scalable data pipelines.
Joseph Zuniga,int:Joseph Zuniga,int:Senior AWS Engineer,joseph.zuniga@example.com,josephzuniga,ext_72bf73d1,72bf73d1,cv_72bf73d1,446-778-6691,+1-217-378-5289x2268,1980,Cloud Engineering,India,Polish,ff031fd4,61687f79,2024-04-03,2022-01-17,5,2019,4,2020,False,diploma.pdf,UiO,BSc Computer Science,Thesis on scalable data pipelines.
Joseph Zuniga,int:Joseph Zuniga,int:Senior AWS Engineer,joseph.zuniga@example.com,josephzuniga,ext_72bf73d1,72bf73d1,cv_72bf73d1,446-778-6691,+1-217-378-5289x2268,1980,Cloud Engineering,India,Polish,aa1477e6,aacbc06c,2023-02-19,2025-07-26,1,2020,2,2024,True,diploma.pdf,UCL,MSc Data Science,Thesis on scalable data pipelines.
George Daniel,int:George Daniel,int:Principal Backend Engineer,george.daniel@example.org,georgedaniel,ext_69a9dc55,69a9dc55,cv_69a9dc55,2109943969,+1-884-947-3647x1027,1983,Software Engineering,Spain,Norwegian,85833e34,53774c87,2024-11-12,2025-03-26,6,2008,4,2012,False,diploma.pdf,UiO,BSc Computer Science,Thesis on scalable data pipelines.
George Daniel,int:George Daniel,int:Principal Backend Engineer,george.daniel@example.org,georgedaniel,ext_69a9dc55,69a9dc55,cv_69a9dc55,2109943969,+1-884-947-3647x1027,1983,Software Engineering,Spain,Norwegian,0176afe1,8808c1cc,2023-09-27,2025-10-19,6,2020,5,2024,False,diploma.pdf,UCL,BSc Computer Science,Thesis on scalable data pipelines.
Frank Gray,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_e3c98e6e,e3c98e6e,cv_e3c98e6e,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,a5279e77,3f7c80ec,2025-03-30,2025-07-29,7,2019,2,2022,True,diploma.pdf,KTH,MSc Data Science,
Frank Gray,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_e3c98e6e,e3c98e6e,cv_e3c98e6e,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,988056c9,30b530ec,2024-03-17,2025-05-22,5,2017,9,2020,True,diploma.pdf,KTH,MSc Data Science,Thesis on scalable data pipelines.
Angela Cohen,int:Angela Cohen,int:Principal Python Developer,angela.cohen@example.org,angelacohen,ext_fc1faa17,fc1faa17,cv_fc1faa17,580-716-2456x5060,+1-341-468-7849,2000,Data Engineering,Ireland,Danish,b5f51066,1b6f79cd,2022-12-30,2023-08-08,9,2015,6,2016,False,diploma.pdf,OU,BSc Computer Science,Thesis on scalable data pipelines.
Angela Cohen,int:Angela Cohen,int:Principal Python Developer,angela.cohen@example.org,angelacohen,ext_fc1faa17,fc1faa17,cv_fc1faa17,580-716-2456x5060,+1-341-468-7849,2000,Data Engineering,Ireland,Danish,4bbb897e,df04ab49,2022-03-21,2024-07-09,2,2022,7,2022,False,diploma.pdf,OU,MSc Data Science,Thesis on scalable data pipelines.
Angela Cohen,int:Angela Cohen,int:Principal Python Developer,angela.cohen@example.org,angelacohen,ext_fc1faa17,fc1faa17,cv_fc1faa17,580-716-2456x5060,+1-341-468-7849,2000,Data Engineering,Ireland,Danish,7a03cfc7,06a60b09,2025-03-04,2023-03-26,3,2011,11,2011,False,diploma.pdf,NTNU,BEng Software Eng,Thesis on scalable data pipelines.
Megan Parsons,int:Megan Parsons,int:Associate DevOps Engineer,megan.parsons@mail.test,meganparsons,ext_f3c1b067,f3c1b067,cv_f3c1b067,865-258-5239,4027578729,1974,Cloud Engineering,Spain,Danish,7ca8e46a,5661fc26,2023-12-01,2025-02-16,3,2008,2,2011,False,diploma.pdf,KTH,BEng Software Eng,Thesis on scalable data pipelines.
Megan Parsons,int:Megan Parsons,int:Associate DevOps Engineer,megan.parsons@mail.test,meganparsons,ext_f3c1b067,f3c1b067,cv_f3c1b067,865-258-5239,4027578729,1974,Cloud Engineering,Spain,Danish,4b31cba8,3a962536,2023-08-13,2022-09-18,6,2010,6,2014,False,diploma.pdf,UiO,MSc Data Science,Thesis on scalable data pipelines.
Jeremy Johnson,int:Jeremy Johnson,int:Consultant Data Platform Engineer,jeremy.johnson@example.com,jeremyjohnson,ext_1b490dd6,1b490dd6,cv_1b490dd6,+1-652-969-4958x887,9556169409,1992,Data Engineering,United Kingdom,British,cfb481d6,ae1f7259,2024-05-07,2024-12-29,7,2019,2,2020,True,,UCL,BEng Software Eng,Thesis on scalable data pipelines.
Jeremy Johnson,int:Jeremy Johnson,int:Consultant Data Platform Engineer,jeremy.johnson@example.com,jeremyjohnson,ext_1b490dd6,1b490dd6,cv_1b490dd6,+1-652-969-4958x887,9556169409,1992,Data Engineering,United Kingdom,British,5c65f6b5,58c6365d,2025-01-08,2025-01-19,1,2023,8,2023,True,diploma.pdf,UiO,BSc Computer Science,Thesis on scalable data pipelines.
Jeremy Johnson,int:Jeremy Johnson,int:Consultant Data Platform Engineer,jeremy.johnson@example.com,jeremyjohnson,ext_1b490dd6,1b490dd6,cv_1b490dd6,+1-652-969-4958x887,9556169409,1992,Data Engineering,United Kingdom,British,9f341f76,193f783a,2023-06-21,2024-08-06,12,2013,3,2013,False,diploma.pdf,OU,BSc Computer Science,Thesis on scalable data pipelines.
Leslie Adams,int:Leslie Adams,int:Consultant Backend Engineer,leslie.adams@mail.test,leslieadams,ext_fe33e935,fe33e935,cv_fe33e935,+1-299-330-9728x9623,907.256.2636,1980,Software Engineering,Ireland,Polish,7bbfb89f,0139cc68,2025-06-04,2024-12-08,5,2011,11,2015,True,diploma.pdf,KTH,BSc Computer Science,Thesis on scalable data pipelines.
Leslie Adams,int:Leslie Adams,int:Consultant Backend Engineer,leslie.adams@mail.test,leslieadams,ext_fe33e935,fe33e935,cv_fe33e935,+1-299-330-9728x9623,907.256.2636,1980,Software Engineering,Ireland,Polish,bf36753d,98e8e14a,2023-10-05,2025-03-19,4,2014,2,2018,False,diploma.pdf,UCL,BSc Computer Science,Thesis on scalable data pipelines.
Nancy Edwards,int:Nancy Edwards,int:Consultant Analytics Engineer,nancy.edwards@mail.test,nancyedwards,ext_f5d98ac7,f5d98ac7,cv_f5d98ac7,(284)641-9866x524,001-415-374-7338x484,1994,Data Engineering,United Kingdom,Danish,eb9eb3b5,d1cc0cb5,2023-03-11,2022-06-28,8,2013,12,2014,False,diploma.pdf,KTH,BEng Software Eng,Thesis on scalable data pipelines.
Robin Ellis,int:Robin Ellis,int:Senior Full-stack Engineer,robin.ellis@example.org,robinellis,ext_58e2ef0c,58e2ef0c,cv_58e2ef0c,(262)606-7240,001-491-954-7887,1971,Software Engineering,USA,Norwegian,540fe85c,26c579fa,2022-04-04,2025-03-02,10,2008,12,2013,True,diploma.pdf,NTNU,MSc Data Science,Thesis on scalable data pipelines.
Joseph Wright,int:Joseph Wright,int:Head of Quality Engineering,joseph.wright@example.org,josephwright,ext_0bab317c,0bab317c,cv_0bab317c,531-452-7420x549,+1-566-285-1612x275,1980,Head of Quality Engineering,Ireland,British,b96e1aca,457a86a1,2023-03-03,2025-06-23,9,2019,1,2021,True,diploma.pdf,OU,MSc Data Science,
Anna Baker,int:Anna Baker,int:Principal Python Developer,anna.baker@mail.test,annabaker,ext_15830954,15830954,cv_15830954,563-274-5499x045,+1-417-942-6841x45933,1993,Data Engineering,Slovenia,Norwegian,164db2b7,966779f6,2025-08-26,2025-09-30,6,2008,11,2008,False,diploma.pdf,KTH,BEng Software Eng,Thesis on scalable data pipelines.
Anna Baker,int:Anna Baker,int:Principal Python Developer,anna.baker@mail.test,annabaker,ext_15830954,15830954,cv_15830954,563-274-5499x045,+1-417-942-6841x45933,1993,Data Engineering,Slovenia,Norwegian,b3826927,c24c610f,2025-05-21,2024-05-21,7,2013,10,2017,True,diploma.pdf,KTH,BEng Software Eng,Thesis on scalable data pipelines.
Anna Baker,int:Anna Baker,int:Principal Python Developer,anna.baker@mail.test,annabaker,ext_15830954,15830954,cv_15830954,563-274-5499x045,+1-417-942-6841x45933,1993,Data Engineering,Slovenia,Norwegian,7a92e3c6,0c17c309,2022-07-09,2025-04-17,5,2023,4,2023,False,diploma.pdf,KTH,BSc Computer Science,Thesis on scalable data pipelines.
Brenda Hurst,int:Brenda Hurst,int:Senior MLOps Engineer,brenda.hurst@example.com,brendahurst,ext_d2d98742,d2d98742,cv_d2d98742,(579)356-8783,478.751.9108x83982,1985,Data Engineering,United Kingdom,Polish,a1be326a,ee32bdbe,2022-05-16,2024-09-21,2,2014,1,2014,False,diploma.pdf,NTNU,BSc Computer Science,Thesis on scalable data pipelines.
Reginald Robinson,int:Reginald Robinson,int:Associate Data Engineer,reginald.robinson@mail.test,reginaldrobinson,ext_51e97786,51e97786,cv_51e97786,971.239.7187x07286,+1-374-206-4039,1978,Data Engineering,Australia,Swedish,5887df54,cc051fce,2024-09-26,2023-10-30,12,2020,7,2022,False,diploma.pdf,KTH,BEng Software Eng,
Reginald Robinson,int:Reginald Robinson,int:Associate Data Engineer,reginald.robinson@mail.test,reginaldrobinson,ext_51e97786,51e97786,cv_51e97786,971.239.7187x07286,+1-374-206-4039,1978,Data Engineering,Australia,Swedish,b8037695,80e83df5,2023-01-12,2022-07-24,4,2013,7,2018,True,diploma.pdf,UiO,MSc Data Science,Thesis on scalable data pipelines.
Whitney Hicks,int:Whitney Hicks,int:Associate .NET Engineer,whitney.hicks@mail.test,whitneyhicks,ext_145f9df4,145f9df4,cv_145f9df4,(851)980-1704x62265,(261)282-5128x6823,1979,Software Engineering,United Kingdom,Norwegian,c15e2fa6,02fead57,2022-04-22,2024-04-17,12,2017,2,2020,False,diploma.pdf,UiO,MSc Data Science,Thesis on scalable data pipelines.
Whitney Hicks,int:Whitney Hicks,int:Associate .NET Engineer,whitney.hicks@mail.test,whitneyhicks,ext_145f9df4,145f9df4,cv_145f9df4,(851)980-1704x62265,(261)282-5128x6823,1979,Software Engineering,United Kingdom,Norwegian,5d713191,f08a5c1c,2025-09-27,2025-05-12,8,2013,7,2014,False,diploma.pdf,UiO,BSc Computer Science,Thesis on scalable data pipelines.
Whitney Hicks,int:Whitney Hicks,int:Associate .NET Engineer,whitney.hicks@mail.test,whitneyhicks,ext_145f9df4,145f9df4,cv_145f9df4,(851)980-1704x62265,(261)282-5128x6823,1979,Software Engineering,United Kingdom,Norwegian,a791bd69,d69c1578,2025-10-16,2024-05-16,8,2015,9,2016,True,diploma.pdf,KTH,BEng Software Eng,Thesis on scalable data pipelines.
Christopher Williams,int:Christopher Williams,int:Senior Data Scientist,christopher.williams@mail.test,christopherwilliams,ext_0edfea3b,0edfea3b,cv_0edfea3b,378-268-6337x5243,+1-269-803-3119x07903,1997,AI/ML,United Kingdom,Swedish,b9e4b316,90afac79,2023-01-23,2023-09-22,3,2011,3,2016,True,diploma.pdf,KTH,BSc Computer Science,Thesis on scalable data pipelines.
Daniel Burton,int:Daniel Burton,int:Associate .NET Engineer,daniel.burton@example.com,danielburton,ext_b3859c3f,b3859c3f,cv_b3859c3f,738.530.2843x959,928-236-4408x9268,1989,Software Engineering,Australia,Danish,6dae3dc4,838c8290,2024-03-07,2024-10-19,4,2019,5,2022,True,diploma.pdf,OU,BEng Software Eng,Thesis on scalable data pipelines.
Bryan James,int:Bryan James,int:Associate Data Engineer,bryan.james@mail.test,bryanjames,ext_f2274e5f,f2274e5f,cv_f2274e5f,+1-317-551-8304x6990,001-598-837-3540x33173,1975,Data Engineering,Spain,British,4eea052b,1e250d8e,2022-09-20,2022-03-29,11,2014,7,2018,True,diploma.pdf,UCL,BEng Software Eng,Thesis on scalable data pipelines.
Bryan James,int:Bryan James,int:Associate Data Engineer,bryan.james@mail.test,bryanjames,ext_f2274e5f,f2274e5f,cv_f2274e5f,+1-317-551-8304x6990,001-598-837-3540x33173,1975,Data Engineering,Spain,British,e8951a33,8c4cedc9,2023-03-06,2023-09-02,1,2022,12,2022,True,diploma.pdf,UCL,MSc Data Science,Thesis on scalable data pipelines.
Bryan James,int:Bryan James,int:Associate Data Engineer,bryan.james@mail.test,bryanjames,ext_f2274e5f,f2274e5f,cv_f2274e5f,+1-317-551-8304x6990,001-598-837-3540x33173,1975,Data Engineering,Spain,British,3284abec,ef57b904,2023-09-18,2025-06-05,10,2011,3,2013,False,diploma.pdf,NTNU,BEng Software Eng,Thesis on scalable data pipelines.
Wendy Rice,int:Wendy Rice,int:Principal Databricks Engineer,wendy.rice@mail.test,wendyrice,ext_4b009999,4b009999,cv_4b009999,685.746.7854,277.617.5355x60932,1991,Data Engineering,United Kingdom,Swedish,b4352354,18855cc2,2022-01-26,2022-11-06,7,2023,12,2024,True,diploma.pdf,KTH,BSc Computer Science,Thesis on scalable data pipelines.
Wendy Rice,int:Wendy Rice,int:Principal Databricks Engineer,wendy.rice@mail.test,wendyrice,ext_4b009999,4b009999,cv_4b009999,685.746.7854,277.617.5355x60932,1991,Data Engineering,United Kingdom,Swedish,c0af6c6a,a1656913,2024-11-23,2022-02-18,4,2015,9,2016,False,diploma.pdf,NTNU,BEng Software Eng,Thesis on scalable data pipelines.
Wendy Rice,int:Wendy Rice,int:Principal Databricks Engineer,wendy.rice@mail.test,wendyrice,ext_4b009999,4b009999,cv_4b009999,685.746.7854,277.617.5355x60932,1991,Data Engineering,United Kingdom,Swedish,1e0afa20,9db5c8d5,2022-10-11,2024-12-17,4,2014,3,2017,True,diploma.pdf,NTNU,MSc Data Science,Thesis on scalable data pipelines.
Alexander Le,int:Alexander Le,int:Principal C# Developer,alexander.le@mail.test,alexanderle,ext_77c085bb,77c085bb,cv_77c085bb,701.200.6231x20387,+1-697-670-0886x008,1976,Software Engineering,India,Polish,7da15c69,e0c1dba1,2025-10-07,2025-03-16,11,2023,3,2024,False,,KTH,BSc Computer Science,Thesis on scalable data pipelines.
Alexander Le,int:Alexander Le,int:Principal C# Developer,alexander.le@mail.test,alexanderle,ext_77c085bb,77c085bb,cv_77c085bb,701.200.6231x20387,+1-697-670-0886x008,1976,Software Engineering,India,Polish,75566daa,ac6b2797,2022-06-23,2022-07-04,5,2020,5,2022,False,diploma.pdf,OU,MSc Data Science,Thesis on scalable data pipelines.
Alexander Le,int:Alexander Le,int:Principal C# Developer,alexander.le@mail.test,alexanderle,ext_77c085bb,77c085bb,cv_77c085bb,701.200.6231x20387,+1-697-670-0886x008,1976,Software Engineering,India,Polish,bbf8efbc,39dd04e4,2024-06-29,2022-12-06,1,2023,5,2023,True,diploma.pdf,NTNU,BSc Computer Science,
Erin Herrera,int:Erin Herrera,int:Associate Python Developer,erin.herrera@mail.test,erinherrera,ext_2f8ffee0,2f8ffee0,cv_2f8ffee0,5866211823,(246)315-6793x341,1995,Data Engineering,Slovenia,Swedish,71a2ba0c,16f2e006,2024-04-28,2023-11-03,7,2018,5,2021,False,diploma.pdf,KTH,BSc Computer Science,
