Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,Updated,Updated by owner,Name,Description,Highlighted
Analyst,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_c17ef460,c17ef460,cv_c17ef460,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,2024-11-02,2023-12-05,Analyst,High-level role on multiple projects.,False
Developer,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_c17ef460,c17ef460,cv_c17ef460,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,2024-09-15,2024-06-13,Developer,High-level role on multiple projects.,False
Manager,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_c17ef460,c17ef460,cv_c17ef460,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,2025-02-02,2024-01-13,Manager,,False
Analyst,int:Christopher Davis,int:Principal Solution Architect,christopher.davis@example.com,christopherdavis,ext_5216eb6c,5216eb6c,cv_5216eb6c,415.718.2037x788,(846)665-9051x518,1998,Architecture,Ireland,Swedish,2024-02-04,2024-10-15,Analyst,High-level role on multiple projects.,True
Tech Lead,int:Christopher Davis,int:Principal Solution Architect,christopher.davis@example.com,christopherdavis,ext_5216eb6c,5216eb6c,cv_5216eb6c,415.718.2037x788,(846)665-9051x518,1998,Architecture,Ireland,Swedish,2024-07-10,2024-03-14,Tech Lead,High-level role on multiple projects.,True
Manager,int:Melanie Munoz,int:Senior Cloud Architect,melanie.munoz@example.org,melaniemunoz,ext_baecb263,baecb263,cv_baecb263,392-651-9254x629,+1-265-728-1685,1970,Architecture,Spain,Danish,2024-12-10,2023-12-13,Manager,High-level role on multiple projects.,True
Architect,int:Melanie Munoz,int:Senior Cloud Architect,melanie.munoz@example.org,melaniemunoz,ext_baecb263,baecb263,cv_baecb263,392-651-9254x629,+1-265-728-1685,1970,Architecture,Spain,Danish,2024-01-21,2024-08-15,Architect,High-level role on multiple projects.,True
Architect,int:Lindsay Blair,int:Consultant Data Architect,lindsay.blair@example.com,lindsayblair,ext_eab0c65e,eab0c65e,cv_eab0c65e,223-757-3322x1418,001-592-996-2229x27065,1980,Architecture,Australia,Norwegian,2025-07-24,2024-12-24,Architect,High-level role on multiple projects.,False
Developer,int:Lindsay Blair,int:Consultant Data Architect,lindsay.blair@example.com,lindsayblair,ext_eab0c65e,eab0c65e,cv_eab0c65e,223-757-3322x1418,001-592-996-2229x27065,1980,Architecture,Australia,Norwegian,2025-04-15,2024-06-23,Developer,High-level role on multiple projects.,False
Architect,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_067f9cb4,067f9cb4,cv_067f9cb4,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,2024-12-19,2024-01-28,Architect,High-level role on multiple projects.,True
Analyst,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_067f9cb4,067f9cb4,cv_067f9cb4,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,2024-08-26,2025-07-20,Analyst,High-level role on multiple projects.,False
Manager,int:Nicholas Arnold,int:Principal Python Developer,nicholas.arnold@mail.test,nicholasarnold,ext_c1f788e8,c1f788e8,cv_c1f788e8,812-247-8261x3750,(485)236-1530x5152,1973,Data Engineering,India,British,2023-12-22,2025-10-10,Manager,High-level role on multiple projects.,True
Developer,int:Maria Montgomery,int:Consultant Frontend Engineer,maria.montgomery@example.org,mariamontgomery,ext_9c42f816,9c42f816,cv_9c42f816,872-377-9010x4328,001-243-541-0369x71179,1996,Software Engineering,Australia,British,2025-03-29,2024-02-13,Developer,High-level role on multiple projects.,True
Manager,int:Michelle Ray,int:Associate .NET Engineer,michelle.ray@example.org,michelleray,ext_0b0cca25,0b0cca25,cv_0b0cca25,001-724-360-9539x621,388.788.0670x65405,1977,Software Engineering,Ireland,British,2023-12-07,2025-06-23,Manager,High-level role on multiple projects.,False
Analyst,int:Michelle Ray,int:Associate .NET Engineer,michelle.ray@example.org,michelleray,ext_0b0cca25,0b0cca25,cv_0b0cca25,001-724-360-9539x621,388.788.0670x65405,1977,Software Engineering,Ireland,British,2024-01-17,2025-10-15,Analyst,High-level role on multiple projects.,False
Analyst,int:Janet Williams,int:Senior Frontend Engineer,janet.williams@example.com,janetwilliams,ext_2f4a0467,2f4a0467,cv_2f4a0467,419.952.0585,001-772-621-7043x030,1991,Software Engineering,United Kingdom,Swedish,2025-05-10,2024-10-17,Analyst,High-level role on multiple projects.,False
Tech Lead,int:Janet Williams,int:Senior Frontend Engineer,janet.williams@example.com,janetwilliams,ext_2f4a0467,2f4a0467,cv_2f4a0467,419.952.0585,001-772-621-7043x030,1991,Software Engineering,United Kingdom,Swedish,2024-01-17,2025-02-05,Tech Lead,High-level role on multiple projects.,False
Architect,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_262a36f2,262a36f2,cv_262a36f2,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,2024-10-13,2024-11-13,Architect,,False
Manager,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_262a36f2,262a36f2,cv_262a36f2,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,2024-09-02,2025-11-08,Manager,High-level role on multiple projects.,True
Analyst,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_262a36f2,262a36f2,cv_262a36f2,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,2024-10-23,2023-12-21,Analyst,,False
Tech Lead,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_74b8108e,74b8108e,cv_74b8108e,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,Swedish,2025-05-19,2024-07-09,Tech Lead,High-level role on multiple projects.,False
Architect,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_74b8108e,74b8108e,cv_74b8108e,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,Swedish,2025-01-05,2024-05-06,Architect,High-level role on multiple projects.,True
Manager,int:Christopher Hall,int:Senior Analytics Engineer,christopher.hall@example.com,christopherhall,ext_74b8108e,74b8108e,cv_74b8108e,+1-845-411-5447,001-775-470-5964x016,1973,Data Engineering,Australia,Swedish,2025-02-25,2025-07-27,Manager,High-level role on multiple projects.,False
Tech Lead,int:Craig Ramirez,int:Senior Data Platform Engineer,craig.ramirez@mail.test,craigramirez,ext_7afd6e05,7afd6e05,cv_7afd6e05,7298702135,001-409-727-5571,1975,Data Engineering,Spain,Swedish,2024-07-03,2024-04-19,Tech Lead,High-level role on multiple projects.,False
Developer,int:Craig Ramirez,int:Senior Data Platform Engineer,craig.ramirez@mail.test,craigramirez,ext_7afd6e05,7afd6e05,cv_7afd6e05,7298702135,001-409-727-5571,1975,Data Engineering,Spain,Swedish,2024-02-25,2025-02-01,Developer,,False
Manager,int:Craig Ramirez,int:Senior Data Platform Engineer,craig.ramirez@mail.test,craigramirez,ext_7afd6e05,7afd6e05,cv_7afd6e05,7298702135,001-409-727-5571,1975,Data Engineering,Spain,Swedish,2024-12-20,2025-08-27,Manager,High-level role on multiple projects.,False
Analyst,int:Cynthia Diaz,int:Lead Enterprise Architect,cynthia.diaz@mail.test,cynthiadiaz,ext_3786a319,3786a319,cv_3786a319,(654)931-0278x6814,494.973.1217,1998,Architecture,United Kingdom,British,2025-07-18,2024-06-19,Analyst,High-level role on multiple projects.,True
Developer,int:Mitchell Clark,int:Senior Data Architect,mitchell.clark@example.org,mitchellclark,ext_5ec84817,5ec84817,cv_5ec84817,455-718-8442,431.332.3705x89578,1995,Architecture,Ireland,Danish,2024-03-19,2024-06-21,Developer,High-level role on multiple projects.,True
Architect,int:Mitchell Clark,int:Senior Data Architect,mitchell.clark@example.org,mitchellclark,ext_5ec84817,5ec84817,cv_5ec84817,455-718-8442,431.332.3705x89578,1995,Architecture,Ireland,Danish,2025-09-05,2025-04-25,Architect,High-level role on multiple projects.,True
Analyst,int:Mitchell Clark,int:Senior Data Architect,mitchell.clark@example.org,mitchellclark,ext_5ec84817,5ec84817,cv_5ec84817,455-718-8442,431.332.3705x89578,1995,Architecture,Ireland,Danish,2024-09-09,2023-12-27,Analyst,High-level role on multiple projects.,True
Analyst,int:Joseph Zuniga,int:Senior AWS Engineer,joseph.zuniga@example.com,josephzuniga,ext_72bf73d1,72bf73d1,cv_72bf73d1,446-778-6691,+1-217-378-5289x2268,1980,Cloud Engineering,India,Polish,2025-10-29,2024-11-29,Analyst,High-level role on multiple projects.,True
Architect,int:Joseph Zuniga,int:Senior AWS Engineer,joseph.zuniga@example.com,josephzuniga,ext_72bf73d1,72bf73d1,cv_72bf73d1,446-778-6691,+1-217-378-5289x2268,1980,Cloud Engineering,India,Polish,2025-11-05,2024-05-07,Architect,High-level role on multiple projects.,True
Developer,int:Deborah Lynch,int:Senior Full-stack Engineer,deborah.lynch@mail.test,deborahlynch,ext_d94e9d2e,d94e9d2e,cv_d94e9d2e,624.422.5358x41438,+1-749-281-8299x2299,1970,Software Engineering,Spain,Swedish,2023-12-23,2023-12-05,Developer,High-level role on multiple projects.,False
Architect,int:Deborah Lynch,int:Senior Full-stack Engineer,deborah.lynch@mail.test,deborahlynch,ext_d94e9d2e,d94e9d2e,cv_d94e9d2e,624.422.5358x41438,+1-749-281-8299x2299,1970,Software Engineering,Spain,Swedish,2024-04-24,2024-02-04,Architect,High-level role on multiple projects.,False
Architect,int:George Daniel,int:Principal Backend Engineer,george.daniel@example.org,georgedaniel,ext_69a9dc55,69a9dc55,cv_69a9dc55,2109943969,+1-884-947-3647x1027,1983,Software Engineering,Spain,Norwegian,2023-12-08,2025-08-30,Architect,High-level role on multiple projects.,False
Developer,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_e3c98e6e,e3c98e6e,cv_e3c98e6e,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,2024-05-07,2023-11-24,Developer,High-level role on multiple projects.,True
Tech Lead,int:Veronica Bowman,int:Senior Solution Architect,veronica.bowman@example.org,veronicabowman,ext_37d15a82,37d15a82,cv_37d15a82,+1-963-625-9532x787,901.968.7339x5004,1992,Architecture,United Kingdom,Polish,2024-09-28,2024-01-03,Tech Lead,High-level role on multiple projects.,True
Developer,int:Angela Cohen,int:Principal Python Developer,angela.cohen@example.org,angelacohen,ext_fc1faa17,fc1faa17,cv_fc1faa17,580-716-2456x5060,+1-341-468-7849,2000,Data Engineering,Ireland,Danish,2025-07-30,2025-05-25,Developer,High-level role on multiple projects.,False
Developer,int:Megan Parsons,int:Associate DevOps Engineer,megan.parsons@mail.test,meganparsons,ext_f3c1b067,f3c1b067,cv_f3c1b067,865-258-5239,4027578729,1974,Cloud Engineering,Spain,Danish,2025-08-28,2024-02-09,Developer,,False
Manager,int:Megan Parsons,int:Associate DevOps Engineer,megan.parsons@mail.test,meganparsons,ext_f3c1b067,f3c1b067,cv_f3c1b067,865-258-5239,4027578729,1974,Cloud Engineering,Spain,Danish,2025-09-13,2025-10-27,Manager,High-level role on multiple projects.,False
Analyst,int:Megan Parsons,int:Associate DevOps Engineer,megan.parsons@mail.test,meganparsons,ext_f3c1b067,f3c1b067,cv_f3c1b067,865-258-5239,4027578729,1974,Cloud Engineering,Spain,Danish,2025-01-12,2024-09-30,Analyst,High-level role on multiple projects.,True
Architect,int:Jeremy Johnson,int:Consultant Data Platform Engineer,jeremy.johnson@example.com,jeremyjohnson,ext_1b490dd6,1b490dd6,cv_1b490dd6,+1-652-969-4958x887,9556169409,1992,Data Engineering,United Kingdom,British,2025-07-13,2025-01-02,Architect,High-level role on multiple projects.,False
Manager,int:Jeremy Johnson,int:Consultant Data Platform Engineer,jeremy.johnson@example.com,jeremyjohnson,ext_1b490dd6,1b490dd6,cv_1b490dd6,+1-652-969-4958x887,9556169409,1992,Data Engineering,United Kingdom,British,2025-07-29,2025-08-11,Manager,,False
Developer,int:Jeremy Johnson,int:Consultant Data Platform Engineer,jeremy.johnson@example.com,jeremyjohnson,ext_1b490dd6,1b490dd6,cv_1b490dd6,+1-652-969-4958x887,9556169409,1992,Data Engineering,United Kingdom,British,2025-02-10,2025-03-26,Developer,High-level role on multiple projects.,True
Architect,int:Leslie Adams,int:Consultant Backend Engineer,leslie.adams@mail.test,leslieadams,ext_fe33e935,fe33e935,cv_fe33e935,+1-299-330-9728x9623,907.256.2636,1980,Software Engineering,Ireland,Polish,2025-04-08,2024-08-03,Architect,High-level role on multiple projects.,True
Architect,int:Jason Hahn,int:Principal Full-stack Engineer,jason.hahn@mail.test,jasonhahn,ext_27b3a98f,27b3a98f,cv_27b3a98f,001-728-738-5786x527,+1-749-973-3484x34437,1976,Software Engineering,India,Polish,2025-11-02,2024-02-15,Architect,,True
Developer,int:Jason Hahn,int:Principal Full-stack Engineer,jason.hahn@mail.test,jasonhahn,ext_27b3a98f,27b3a98f,cv_27b3a98f,001-728-738-5786x527,+1-749-973-3484x34437,1976,Software Engineering,India,Polish,2024-07-02,2024-11-05,Developer,High-level role on multiple projects.,True
Analyst,int:Jason Hahn,int:Principal Full-stack Engineer,jason.hahn@mail.test,jasonhahn,ext_27b3a98f,27b3a98f,cv_27b3a98f,001-728-738-5786x527,+1-749-973-3484x34437,1976,Software Engineering,India,Polish,2024-10-29,2025-08-25,Analyst,High-level role on multiple projects.,True
Developer,int:Nancy Edwards,int:Consultant Analytics Engineer,nancy.edwards@mail.test,nancyedwards,ext_f5d98ac7,f5d98ac7,cv_f5d98ac7,(284)641-9866x524,001-415-374-7338x484,1994,Data Engineering,United Kingdom,Danish,2025-03-18,2024-01-20,Developer,High-level role on multiple projects.,False
Manager,int:Nancy Edwards,int:Consultant Analytics Engineer,nancy.edwards@mail.test,nancyedwards,ext_f5d98ac7,f5d98ac7,cv_f5d98ac7,(284)641-9866x524,001-415-374-7338x484,1994,Data Engineering,United Kingdom,Danish,2024-10-11,2025-03-13,Manager,High-level role on multiple projects.,False
Analyst,int:Nancy Edwards,int:Consultant Analytics Engineer,nancy.edwards@mail.test,nancyedwards,ext_f5d98ac7,f5d98ac7,cv_f5d98ac7,(284)641-9866x524,001-415-374-7338x484,1994,Data Engineering,United Kingdom,Danish,2024-06-21,2024-12-06,Analyst,High-level role on multiple projects.,False
Tech Lead,int:Diana Foster,int:Consultant Kubernetes Engineer,diana.foster@example.org,dianafoster,ext_43fa1860,43fa1860,cv_43fa1860,+1-993-330-8330x165,+1-520-282-6773x45401,1983,Cloud Engineering,Spain,British,2024-06-02,2025-02-05,Tech Lead,High-level role on multiple projects.,False
Developer,int:Diana Foster,int:Consultant Kubernetes Engineer,diana.foster@example.org,dianafoster,ext_43fa1860,43fa1860,cv_43fa1860,+1-993-330-8330x165,+1-520-282-6773x45401,1983,Cloud Engineering,Spain,British,2024-09-22,2025-04-06,Developer,High-level role on multiple projects.,True
Manager,int:Diana Foster,int:Consultant Kubernetes Engineer,diana.foster@example.org,dianafoster,ext_43fa1860,43fa1860,cv_43fa1860,+1-993-330-8330x165,+1-520-282-6773x45401,1983,Cloud Engineering,Spain,British,2025-02-18,2024-03-02,Manager,High-level role on multiple projects.,True
Manager,int:Robin Ellis,int:Senior Full-stack Engineer,robin.ellis@example.org,robinellis,ext_58e2ef0c,58e2ef0c,cv_58e2ef0c,(262)606-7240,001-491-954-7887,1971,Software Engineering,USA,Norwegian,2023-11-25,2023-11-28,Manager,High-level role on multiple projects.,True
Tech Lead,int:Joseph Wright,int:Head of Quality Engineering,joseph.wright@example.org,josephwright,ext_0bab317c,0bab317c,cv_0bab317c,531-452-7420x549,+1-566-285-1612x275,1980,Head of Quality Engineering,Ireland,British,2023-12-05,2023-12-29,Tech Lead,High-level role on multiple projects.,True
Manager,int:Anna Baker,int:Principal Python Developer,anna.baker@mail.test,annabaker,ext_15830954,15830954,cv_15830954,563-274-5499x045,+1-417-942-6841x45933,1993,Data Engineering,Slovenia,Norwegian,2025-02-22,2025-11-02,Manager,High-level role on multiple projects.,False
Tech Lead,int:Anna Baker,int:Principal Python Developer,anna.baker@mail.test,annabaker,ext_15830954,15830954,cv_15830954,563-274-5499x045,+1-417-942-6841x45933,1993,Data Engineering,Slovenia,Norwegian,2025-07-17,2024-11-18,Tech Lead,High-level role on multiple projects.,False
Architect,int:Anna Baker,int:Principal Python Developer,anna.baker@mail.test,annabaker,ext_15830954,15830954,cv_15830954,563-274-5499x045,+1-417-942-6841x45933,1993,Data Engineering,Slovenia,Norwegian,2024-10-21,2025-03-20,Architect,High-level role on multiple projects.,False
Tech Lead,int:Brenda Hurst,int:Senior MLOps Engineer,brenda.hurst@example.com,brendahurst,ext_d2d98742,d2d98742,cv_d2d98742,(579)356-8783,478.751.9108x83982,1985,Data Engineering,United Kingdom,Polish,2025-01-23,2024-09-15,Tech Lead,High-level role on multiple projects.,False
Manager,int:Brenda Hurst,int:Senior MLOps Engineer,brenda.hurst@example.com,brendahurst,ext_d2d98742,d2d98742,cv_d2d98742,(579)356-8783,478.751.9108x83982,1985,Data Engineering,United Kingdom,Polish,2023-12-25,2024-03-20,Manager,,True
Architect,int:Reginald Robinson,int:Associate Data Engineer,reginald.robinson@mail.test,reginaldrobinson,ext_51e97786,51e97786,cv_51e97786,971.239.7187x07286,+1-374-206-4039,1978,Data Engineering,Australia,Swedish,2023-12-17,2025-05-19,Architect,High-level role on multiple projects.,True
Manager,int:Reginald Robinson,int:Associate Data Engineer,reginald.robinson@mail.test,reginaldrobinson,ext_51e97786,51e97786,cv_51e97786,971.239.7187x07286,+1-374-206-4039,1978,Data Engineering,Australia,Swedish,2024-08-28,2024-10-08,Manager,High-level role on multiple projects.,True
Tech Lead,int:Reginald Robinson,int:Associate Data Engineer,reginald.robinson@mail.test,reginaldrobinson,ext_51e97786,51e97786,cv_51e97786,971.239.7187x07286,+1-374-206-4039,1978,Data Engineering,Australia,Swedish,2024-05-23,2024-10-30,Tech Lead,High-level role on multiple projects.,True
Architect,int:Whitney Hicks,int:Associate .NET Engineer,whitney.hicks@mail.test,whitneyhicks,ext_145f9df4,145f9df4,cv_145f9df4,(851)980-1704x62265,(261)282-5128x6823,1979,Software Engineering,United Kingdom,Norwegian,2025-06-21,2024-10-14,Architect,High-level role on multiple projects.,True
Analyst,int:Whitney Hicks,int:Associate .NET Engineer,whitney.hicks@mail.test,whitneyhicks,ext_145f9df4,145f9df4,cv_145f9df4,(851)980-1704x62265,(261)282-5128x6823,1979,Software Engineering,United Kingdom,Norwegian,2025-05-13,2023-11-30,Analyst,High-level role on multiple projects.,False
Developer,int:Whitney Hicks,int:Associate .NET Engineer,whitney.hicks@mail.test,whitneyhicks,ext_145f9df4,145f9df4,cv_145f9df4,(851)980-1704x62265,(261)282-5128x6823,1979,Software Engineering,United Kingdom,Norwegian,2025-07-28,2025-02-10,Developer,High-level role on multiple projects.,False
Developer,int:Christopher Williams,int:Senior Data Scientist,christopher.williams@mail.test,christopherwilliams,ext_0edfea3b,0edfea3b,cv_0edfea3b,378-268-6337x5243,+1-269-803-3119x07903,1997,AI/ML,United Kingdom,Swedish,2024-08-23,2025-09-25,Developer,High-level role on multiple projects.,True
Analyst,int:Christopher Williams,int:Senior Data Scientist,christopher.williams@mail.test,christopherwilliams,ext_0edfea3b,0edfea3b,cv_0edfea3b,378-268-6337x5243,+1-269-803-3119x07903,1997,AI/ML,United Kingdom,Swedish,2023-11-23,2025-06-26,Analyst,High-level role on multiple projects.,False
Architect,int:Christopher Williams,int:Senior Data Scientist,christopher.williams@mail.test,christopherwilliams,ext_0edfea3b,0edfea3b,cv_0edfea3b,378-268-6337x5243,+1-269-803-3119x07903,1997,AI/ML,United Kingdom,Swedish,2024-07-28,2024-06-21,Architect,High-level role on multiple projects.,True
Manager,int:Daniel Burton,int:Associate .NET Engineer,daniel.burton@example.com,danielburton,ext_b3859c3f,b3859c3f,cv_b3859c3f,738.530.2843x959,928-236-4408x9268,1989,Software Engineering,Australia,Danish,2024-01-23,2025-10-16,Manager,High-level role on multiple projects.,True
Manager,int:Laura Henderson,int:Director of Design,laura.henderson@example.com,laurahenderson,ext_4e2310f9,4e2310f9,cv_4e2310f9,(568)556-6246x287,527-708-6688x2634,1983,Director of Design,United Kingdom,Norwegian,2023-12-12,2025-05-04,Manager,,True
