Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality,CV Partner section ID,External unique ID,Updated,Updated by owner,Name,Description,Highlighted
Kubernetes for Data,int:Anthony Gonzalez,int:Principal Azure Engineer,anthony.gonzalez@example.org,anthonygonzalez,ext_1266d379,1266d379,cv_1266d379,(844)355-0229,(401)783-6675,1970,Cloud Engineering,India,Polish,e488a2a1,60d87ad4,2024-03-04,2025-04-05,Kubernetes for Data,Conference talk / blog summary.,True
AWS Well-Architected,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_8eaaedc9,8eaaedc9,cv_8eaaedc9,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,270f8fd1,b990392c,2024-01-03,2025-04-01,AWS Well-Architected,Conference talk / blog summary.,False
Optimising PySpark,int:Lisa Smith,int:Associate Data Scientist,lisa.smith@example.org,lisasmith,ext_8eaaedc9,8eaaedc9,cv_8eaaedc9,(306)807-1596x9664,5528975161,1993,AI/ML,Ireland,British,cc43630e,7288987d,2024-12-12,2024-12-02,Optimising PySpark,,False
Databricks Lakehouse Patterns,int:Linda Wolfe,int:Consultant Data Engineer,linda.wolfe@example.com,lindawolfe,ext_be73b7c6,be73b7c6,cv_be73b7c6,001-468-316-4535,418.383.5523x12432,1970,Data Engineering,Spain,Swedish,3401edcb,5443f01a,2025-10-23,2025-09-08,Databricks Lakehouse Patterns,Conference talk / blog summary.,False
MLOps Playbook,int:Linda Wolfe,int:Consultant Data Engineer,linda.wolfe@example.com,lindawolfe,ext_be73b7c6,be73b7c6,cv_be73b7c6,001-468-316-4535,418.383.5523x12432,1970,Data Engineering,Spain,Swedish,4435402e,3ccf0b7c,2024-10-26,2025-02-16,MLOps Playbook,Conference talk / blog summary.,True
Azure Fabric Basics,int:Linda Wolfe,int:Consultant Data Engineer,linda.wolfe@example.com,lindawolfe,ext_be73b7c6,be73b7c6,cv_be73b7c6,001-468-316-4535,418.383.5523x12432,1970,Data Engineering,Spain,Swedish,776d64fb,a5f3008c,2024-11-20,2024-09-07,Azure Fabric Basics,Conference talk / blog summary.,True
Databricks Lakehouse Patterns,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_a01c407b,a01c407b,cv_a01c407b,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,1b9913e8,3bb28a98,2024-09-12,2024-02-16,Databricks Lakehouse Patterns,Conference talk / blog summary.,False
Databricks Lakehouse Patterns,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_a01c407b,a01c407b,cv_a01c407b,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,5f58a8be,3be3d7f2,2023-12-06,2024-12-03,Databricks Lakehouse Patterns,Conference talk / blog summary.,False
Streaming 101,int:Susan Rogers,int:Consultant C# Developer,susan.rogers@example.org,susanrogers,ext_a01c407b,a01c407b,cv_a01c407b,8059411998,001-480-279-3597,1977,Software Engineering,Australia,Danish,4acf82f6,718588e4,2023-12-15,2024-10-16,Streaming 101,Conference talk / blog summary.,False
Data Mesh in Practice,int:Christopher Davis,int:Principal Solution Architect,christopher.davis@example.com,christopherdavis,ext_e8d99f80,e8d99f80,cv_e8d99f80,415.718.2037x788,(846)665-9051x518,1998,Architecture,Ireland,Swedish,95b9e4a6,86f5554a,2024-03-20,2025-06-18,Data Mesh in Practice,Conference talk / blog summary.,True
Streaming 101,int:Melanie Munoz,int:Senior Cloud Architect,melanie.munoz@example.org,melaniemunoz,ext_44676ca2,44676ca2,cv_44676ca2,392-651-9254x629,+1-265-728-1685,1970,Architecture,Spain,Danish,41869059,064b56aa,2025-05-23,2024-07-17,Streaming 101,,True
Databricks Lakehouse Patterns,int:Melanie Munoz,int:Senior Cloud Architect,melanie.munoz@example.org,melaniemunoz,ext_44676ca2,44676ca2,cv_44676ca2,392-651-9254x629,+1-265-728-1685,1970,Architecture,Spain,Danish,d9016f48,2545f244,2025-08-25,2024-07-01,Databricks Lakehouse Patterns,Conference talk / blog summary.,False
Modern .NET APIs,int:Melanie Munoz,int:Senior Cloud Architect,melanie.munoz@example.org,melaniemunoz,ext_44676ca2,44676ca2,cv_44676ca2,392-651-9254x629,+1-265-728-1685,1970,Architecture,Spain,Danish,df17877a,016e7668,2025-01-13,2025-06-18,Modern .NET APIs,Conference talk / blog summary.,True
Kubernetes for Data,int:Lindsay Blair,int:Consultant Data Architect,lindsay.blair@example.com,lindsayblair,ext_e899c10b,e899c10b,cv_e899c10b,223-757-3322x1418,001-592-996-2229x27065,1980,Architecture,Australia,Norwegian,974a61c4,2b8c3706,2025-02-12,2024-05-28,Kubernetes for Data,,True
Kubernetes for Data,int:Amanda Dudley,int:Senior Project Manager,amanda.dudley@mail.test,amandadudley,ext_f1fd400b,f1fd400b,cv_f1fd400b,+1-947-638-3473x597,001-368-386-2392x40758,1975,Delivery Management,United Kingdom,Polish,7263b741,253c6554,2025-04-08,2024-12-27,Kubernetes for Data,Conference talk / blog summary.,True
Optimising PySpark,int:Nicholas Arnold,int:Principal Python Developer,nicholas.arnold@mail.test,nicholasarnold,ext_0a463344,0a463344,cv_0a463344,812-247-8261x3750,(485)236-1530x5152,1973,Data Engineering,India,British,db02b531,f850317c,2024-02-08,2025-03-19,Optimising PySpark,Conference talk / blog summary.,True
Optimising PySpark,int:Nicholas Arnold,int:Principal Python Developer,nicholas.arnold@mail.test,nicholasarnold,ext_0a463344,0a463344,cv_0a463344,812-247-8261x3750,(485)236-1530x5152,1973,Data Engineering,India,British,09fafac7,7df32f39,2025-02-04,2024-01-19,Optimising PySpark,Conference talk / blog summary.,True
Optimising PySpark,int:Maria Montgomery,int:Consultant Frontend Engineer,maria.montgomery@example.org,mariamontgomery,ext_390cea4f,390cea4f,cv_390cea4f,872-377-9010x4328,001-243-541-0369x71179,1996,Software Engineering,Australia,British,9c000486,2a49c5ea,2024-07-30,2023-12-30,Optimising PySpark,Conference talk / blog summary.,False
Kubernetes for Data,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_06c54c32,06c54c32,cv_06c54c32,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,d5a21160,97cdaa57,2024-01-10,2025-09-05,Kubernetes for Data,Conference talk / blog summary.,False
Intro to dbt,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_06c54c32,06c54c32,cv_06c54c32,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,3f6151ec,3fb5e1e2,2024-10-04,2025-02-24,Intro to dbt,,False
Data Mesh in Practice,int:Jeremy Roberts,int:Principal Databricks Engineer,jeremy.roberts@mail.test,jeremyroberts,ext_06c54c32,06c54c32,cv_06c54c32,868.874.0345x05415,001-876-452-7758x4161,1975,Data Engineering,United Kingdom,Swedish,4060175f,0865b90d,2024-01-10,2024-01-02,Data Mesh in Practice,Conference talk / blog summary.,True
Optimising PySpark,int:Craig Ramirez,int:Senior Data Platform Engineer,craig.ramirez@mail.test,craigramirez,ext_13fc2325,13fc2325,cv_13fc2325,7298702135,001-409-727-5571,1975,Data Engineering,Spain,Swedish,cf001db7,76b18583,2025-02-27,2024-06-06,Optimising PySpark,Conference talk / blog summary.,False
Intro to dbt,int:Craig Ramirez,int:Senior Data Platform Engineer,craig.ramirez@mail.test,craigramirez,ext_13fc2325,13fc2325,cv_13fc2325,7298702135,001-409-727-5571,1975,Data Engineering,Spain,Swedish,38b968ee,26ff0280,2025-01-02,2024-04-25,Intro to dbt,Conference talk / blog summary.,False
Intro to dbt,int:Cynthia Diaz,int:Lead Enterprise Architect,cynthia.diaz@mail.test,cynthiadiaz,ext_b2ae8058,b2ae8058,cv_b2ae8058,(654)931-0278x6814,494.973.1217,1998,Architecture,United Kingdom,British,9f0c7998,93211f1b,2025-02-14,2024-11-26,Intro to dbt,Conference talk / blog summary.,False
Azure Fabric Basics,int:Cynthia Diaz,int:Lead Enterprise Architect,cynthia.diaz@mail.test,cynthiadiaz,ext_b2ae8058,b2ae8058,cv_b2ae8058,(654)931-0278x6814,494.973.1217,1998,Architecture,United Kingdom,British,b8f551a3,0a8a16ca,2024-06-23,2024-11-27,Azure Fabric Basics,,False
Modern .NET APIs,int:Cynthia Diaz,int:Lead Enterprise Architect,cynthia.diaz@mail.test,cynthiadiaz,ext_b2ae8058,b2ae8058,cv_b2ae8058,(654)931-0278x6814,494.973.1217,1998,Architecture,United Kingdom,British,128cb403,d8855eca,2025-10-15,2024-07-01,Modern .NET APIs,Conference talk / blog summary.,True
Data Mesh in Practice,int:Mitchell Clark,int:Senior Data Architect,mitchell.clark@example.org,mitchellclark,ext_692d1d52,692d1d52,cv_692d1d52,455-718-8442,431.332.3705x89578,1995,Architecture,Ireland,Danish,64e0f8f2,35671b9c,2025-09-22,2025-04-26,Data Mesh in Practice,Conference talk / blog summary.,False
Databricks Lakehouse Patterns,int:Mitchell Clark,int:Senior Data Architect,mitchell.clark@example.org,mitchellclark,ext_692d1d52,692d1d52,cv_692d1d52,455-718-8442,431.332.3705x89578,1995,Architecture,Ireland,Danish,cfb6efa5,089d999e,2024-03-21,2025-11-01,Databricks Lakehouse Patterns,Conference talk / blog summary.,False
Modern .NET APIs,int:Mitchell Clark,int:Senior Data Architect,mitchell.clark@example.org,mitchellclark,ext_692d1d52,692d1d52,cv_692d1d52,455-718-8442,431.332.3705x89578,1995,Architecture,Ireland,Danish,5d0f17ea,9eda44d5,2025-11-08,2024-05-08,Modern .NET APIs,Conference talk / blog summary.,True
AWS Well-Architected,int:Joseph Zuniga,int:Senior AWS Engineer,joseph.zuniga@example.com,josephzuniga,ext_f71e85f3,f71e85f3,cv_f71e85f3,446-778-6691,+1-217-378-5289x2268,1980,Cloud Engineering,India,Polish,b4e6a139,f85078bb,2025-03-25,2024-08-27,AWS Well-Architected,Conference talk / blog summary.,True
AWS Well-Architected,int:Joseph Zuniga,int:Senior AWS Engineer,joseph.zuniga@example.com,josephzuniga,ext_f71e85f3,f71e85f3,cv_f71e85f3,446-778-6691,+1-217-378-5289x2268,1980,Cloud Engineering,India,Polish,51bfb4a4,61fdb856,2025-04-30,2025-01-21,AWS Well-Architected,Conference talk / blog summary.,True
Modern .NET APIs,int:Joseph Zuniga,int:Senior AWS Engineer,joseph.zuniga@example.com,josephzuniga,ext_f71e85f3,f71e85f3,cv_f71e85f3,446-778-6691,+1-217-378-5289x2268,1980,Cloud Engineering,India,Polish,acaea982,1dcc183d,2024-04-13,2025-04-04,Modern .NET APIs,Conference talk / blog summary.,False
AWS Well-Architected,int:Deborah Lynch,int:Senior Full-stack Engineer,deborah.lynch@mail.test,deborahlynch,ext_b0ec21df,b0ec21df,cv_b0ec21df,624.422.5358x41438,+1-749-281-8299x2299,1970,Software Engineering,Spain,Swedish,5d35e4d0,7c5b9646,2025-05-02,2024-11-20,AWS Well-Architected,Conference talk / blog summary.,False
Azure Fabric Basics,int:George Daniel,int:Principal Backend Engineer,george.daniel@example.org,georgedaniel,ext_2c5c68bf,2c5c68bf,cv_2c5c68bf,2109943969,+1-884-947-3647x1027,1983,Software Engineering,Spain,Norwegian,80f2f70b,7c04d05c,2024-01-09,2024-04-02,Azure Fabric Basics,Conference talk / blog summary.,False
Optimising PySpark,int:George Daniel,int:Principal Backend Engineer,george.daniel@example.org,georgedaniel,ext_2c5c68bf,2c5c68bf,cv_2c5c68bf,2109943969,+1-884-947-3647x1027,1983,Software Engineering,Spain,Norwegian,210f09cf,bf986403,2024-05-24,2024-06-11,Optimising PySpark,Conference talk / blog summary.,False
Streaming 101,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_6e16f1c6,6e16f1c6,cv_6e16f1c6,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,8bed1036,04ad30a7,2025-05-03,2024-06-07,Streaming 101,Conference talk / blog summary.,False
Azure Fabric Basics,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_6e16f1c6,6e16f1c6,cv_6e16f1c6,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,f9fc7a45,8dc34709,2024-05-17,2024-06-28,Azure Fabric Basics,Conference talk / blog summary.,True
Streaming 101,int:Frank Gray,int:Director of DDC Engineering,frank.gray@example.com,frankgray,ext_6e16f1c6,6e16f1c6,cv_6e16f1c6,335.792.5556x258,671.847.3210,1990,Director of DDC Engineering,Ireland,Swedish,8fd4f1de,7f2a5654,2024-12-20,2025-02-19,Streaming 101,Conference talk / blog summary.,False
Optimising PySpark,int:Veronica Bowman,int:Senior Solution Architect,veronica.bowman@example.org,veronicabowman,ext_636ccae7,636ccae7,cv_636ccae7,+1-963-625-9532x787,901.968.7339x5004,1992,Architecture,United Kingdom,Polish,2665bb51,bffe2979,2024-08-05,2025-04-06,Optimising PySpark,,False
Optimising PySpark,int:Veronica Bowman,int:Senior Solution Architect,veronica.bowman@example.org,veronicabowman,ext_636ccae7,636ccae7,cv_636ccae7,+1-963-625-9532x787,901.968.7339x5004,1992,Architecture,United Kingdom,Polish,54ffca9e,95559667,2024-10-05,2024-11-03,Optimising PySpark,Conference talk / blog summary.,False
Data Mesh in Practice,int:Veronica Bowman,int:Senior Solution Architect,veronica.bowman@example.org,veronicabowman,ext_636ccae7,636ccae7,cv_636ccae7,+1-963-625-9532x787,901.968.7339x5004,1992,Architecture,United Kingdom,Polish,c6ec3a5e,c523205f,2024-08-14,2025-03-31,Data Mesh in Practice,Conference talk / blog summary.,False
Azure Fabric Basics,int:Angela Cohen,int:Principal Python Developer,angela.cohen@example.org,angelacohen,ext_61b03405,61b03405,cv_61b03405,580-716-2456x5060,+1-341-468-7849,2000,Data Engineering,Ireland,Danish,95da6ec0,c25cc511,2024-04-13,2024-07-19,Azure Fabric Basics,Conference talk / blog summary.,False
MLOps Playbook,int:Angela Cohen,int:Principal Python Developer,angela.cohen@example.org,angelacohen,ext_61b03405,61b03405,cv_61b03405,580-716-2456x5060,+1-341-468-7849,2000,Data Engineering,Ireland,Danish,4fd76ea2,ee26e043,2024-09-24,2024-10-28,MLOps Playbook,,True
Databricks Lakehouse Patterns,int:Megan Parsons,int:Associate DevOps Engineer,megan.parsons@mail.test,meganparsons,ext_fe88a406,fe88a406,cv_fe88a406,865-258-5239,4027578729,1974,Cloud Engineering,Spain,Danish,273aa84f,20790546,2024-03-29,2024-03-10,Databricks Lakehouse Patterns,Conference talk / blog summary.,False
Kubernetes for Data,int:Jeremy Johnson,int:Consultant Data Platform Engineer,jeremy.johnson@example.com,jeremyjohnson,ext_6cdae182,6cdae182,cv_6cdae182,+1-652-969-4958x887,9556169409,1992,Data Engineering,United Kingdom,British,463f01e0,41913198,2024-12-11,2024-10-26,Kubernetes for Data,Conference talk / blog summary.,True
AWS Well-Architected,int:Jeremy Johnson,int:Consultant Data Platform Engineer,jeremy.johnson@example.com,jeremyjohnson,ext_6cdae182,6cdae182,cv_6cdae182,+1-652-969-4958x887,9556169409,1992,Data Engineering,United Kingdom,British,fe07829c,c7720519,2025-01-10,2025-08-12,AWS Well-Architected,Conference talk / blog summary.,True
Optimising PySpark,int:Nancy Edwards,int:Consultant Analytics Engineer,nancy.edwards@mail.test,nancyedwards,ext_54ed0564,54ed0564,cv_54ed0564,(284)641-9866x524,001-415-374-7338x484,1994,Data Engineering,United Kingdom,Danish,007c57fa,26feac1a,2024-05-19,2025-01-16,Optimising PySpark,Conference talk / blog summary.,True
Databricks Lakehouse Patterns,int:Nancy Edwards,int:Consultant Analytics Engineer,nancy.edwards@mail.test,nancyedwards,ext_54ed0564,54ed0564,cv_54ed0564,(284)641-9866x524,001-415-374-7338x484,1994,Data Engineering,United Kingdom,Danish,004dfbf0,9b757d96,2025-07-30,2024-05-22,Databricks Lakehouse Patterns,Conference talk / blog summary.,False
Intro to dbt,int:Diana Foster,int:Consultant Kubernetes Engineer,diana.foster@example.org,dianafoster,ext_ec7e3055,ec7e3055,cv_ec7e3055,+1-993-330-8330x165,+1-520-282-6773x45401,1983,Cloud Engineering,Spain,British,d1e3050a,5ca2d32a,2025-09-18,2025-06-19,Intro to dbt,Conference talk / blog summary.,True
Modern .NET APIs,int:Robin Ellis,int:Senior Full-stack Engineer,robin.ellis@example.org,robinellis,ext_1a4c11c8,1a4c11c8,cv_1a4c11c8,(262)606-7240,001-491-954-7887,1971,Software Engineering,USA,Norwegian,e88cbe52,742492b5,2024-09-12,2023-12-09,Modern .NET APIs,Conference talk / blog summary.,False
Optimising PySpark,int:Robin Ellis,int:Senior Full-stack Engineer,robin.ellis@example.org,robinellis,ext_1a4c11c8,1a4c11c8,cv_1a4c11c8,(262)606-7240,001-491-954-7887,1971,Software Engineering,USA,Norwegian,455008de,516ef9f5,2023-12-01,2024-08-11,Optimising PySpark,Conference talk / blog summary.,False
Data Mesh in Practice,int:Joseph Wright,int:Head of Quality Engineering,joseph.wright@example.org,josephwright,ext_b8e03253,b8e03253,cv_b8e03253,531-452-7420x549,+1-566-285-1612x275,1980,Head of Quality Engineering,Ireland,British,32fd0961,b98cf6ec,2025-10-16,2024-08-05,Data Mesh in Practice,Conference talk / blog summary.,True
MLOps Playbook,int:Joseph Wright,int:Head of Quality Engineering,joseph.wright@example.org,josephwright,ext_b8e03253,b8e03253,cv_b8e03253,531-452-7420x549,+1-566-285-1612x275,1980,Head of Quality Engineering,Ireland,British,9a37e067,87c5efe7,2025-09-13,2024-04-24,MLOps Playbook,,True
Databricks Lakehouse Patterns,int:Joseph Wright,int:Head of Quality Engineering,joseph.wright@example.org,josephwright,ext_b8e03253,b8e03253,cv_b8e03253,531-452-7420x549,+1-566-285-1612x275,1980,Head of Quality Engineering,Ireland,British,296f3c81,d98bb7dd,2025-07-07,2024-12-06,Databricks Lakehouse Patterns,Conference talk / blog summary.,False
Modern .NET APIs,int:Anna Baker,int:Principal Python Developer,anna.baker@mail.test,annabaker,ext_79baca9f,79baca9f,cv_79baca9f,563-274-5499x045,+1-417-942-6841x45933,1993,Data Engineering,Slovenia,Norwegian,9df5d997,fe79e78e,2024-05-29,2024-07-18,Modern .NET APIs,Conference talk / blog summary.,False
Intro to dbt,int:Anna Baker,int:Principal Python Developer,anna.baker@mail.test,annabaker,ext_79baca9f,79baca9f,cv_79baca9f,563-274-5499x045,+1-417-942-6841x45933,1993,Data Engineering,Slovenia,Norwegian,cdf2b431,65f524bc,2024-10-20,2024-07-21,Intro to dbt,,True
Streaming 101,int:Anna Baker,int:Principal Python Developer,anna.baker@mail.test,annabaker,ext_79baca9f,79baca9f,cv_79baca9f,563-274-5499x045,+1-417-942-6841x45933,1993,Data Engineering,Slovenia,Norwegian,872ce649,ace36116,2024-08-16,2025-04-01,Streaming 101,Conference talk / blog summary.,True
Intro to dbt,int:Brenda Hurst,int:Senior MLOps Engineer,brenda.hurst@example.com,brendahurst,ext_384d8e97,384d8e97,cv_384d8e97,(579)356-8783,478.751.9108x83982,1985,Data Engineering,United Kingdom,Polish,145540f1,7cdf08a3,2025-05-29,2025-02-25,Intro to dbt,Conference talk / blog summary.,True
Optimising PySpark,int:Brenda Hurst,int:Senior MLOps Engineer,brenda.hurst@example.com,brendahurst,ext_384d8e97,384d8e97,cv_384d8e97,(579)356-8783,478.751.9108x83982,1985,Data Engineering,United Kingdom,Polish,31f4a4bd,7560a5a0,2024-01-28,2024-01-22,Optimising PySpark,Conference talk / blog summary.,False
Azure Fabric Basics,int:Reginald Robinson,int:Associate Data Engineer,reginald.robinson@mail.test,reginaldrobinson,ext_0ff44ec9,0ff44ec9,cv_0ff44ec9,971.239.7187x07286,+1-374-206-4039,1978,Data Engineering,Australia,Swedish,dc4c3f51,c84352af,2024-08-14,2024-01-05,Azure Fabric Basics,Conference talk / blog summary.,False
Intro to dbt,int:Reginald Robinson,int:Associate Data Engineer,reginald.robinson@mail.test,reginaldrobinson,ext_0ff44ec9,0ff44ec9,cv_0ff44ec9,971.239.7187x07286,+1-374-206-4039,1978,Data Engineering,Australia,Swedish,ed49f7c5,c452c7bf,2025-04-01,2024-06-19,Intro to dbt,Conference talk / blog summary.,True
Streaming 101,int:Whitney Hicks,int:Associate .NET Engineer,whitney.hicks@mail.test,whitneyhicks,ext_e7dbd6c8,e7dbd6c8,cv_e7dbd6c8,(851)980-1704x62265,(261)282-5128x6823,1979,Software Engineering,United Kingdom,Norwegian,af51812c,3f4e9fa0,2024-01-31,2025-10-19,Streaming 101,Conference talk / blog summary.,False
AWS Well-Architected,int:Christopher Williams,int:Senior Data Scientist,christopher.williams@mail.test,christopherwilliams,ext_d8cf061f,d8cf061f,cv_d8cf061f,378-268-6337x5243,+1-269-803-3119x07903,1997,AI/ML,United Kingdom,Swedish,0387b062,eee53a18,2024-08-16,2025-02-18,AWS Well-Architected,Conference talk / blog summary.,True
Streaming 101,int:Christopher Williams,int:Senior Data Scientist,christopher.williams@mail.test,christopherwilliams,ext_d8cf061f,d8cf061f,cv_d8cf061f,378-268-6337x5243,+1-269-803-3119x07903,1997,AI/ML,United Kingdom,Swedish,a887732c,f09b86bd,2025-04-15,2024-01-06,Streaming 101,Conference talk / blog summary.,True
Kubernetes for Data,int:Daniel Burton,int:Associate .NET Engineer,daniel.burton@example.com,danielburton,ext_9bfd4faf,9bfd4faf,cv_9bfd4faf,738.530.2843x959,928-236-4408x9268,1989,Software Engineering,Australia,Danish,6d341d8b,7f9641c6,2025-10-29,2023-12-18,Kubernetes for Data,Conference talk / blog summary.,False
Data Mesh in Practice,int:Laura Henderson,int:Director of Design,laura.henderson@example.com,laurahenderson,ext_f6441858,f6441858,cv_f6441858,(568)556-6246x287,527-708-6688x2634,1983,Director of Design,United Kingdom,Norwegian,ee99febb,28233382,2025-01-01,2025-02-20,Data Mesh in Practice,,False
